
Call:
msPGOcc(occ.formula = bbs_occobject_fulllandveg.occ.formula, det.formula = bbs_occobject.det.best.formula, 
    data = bbs_occobject, inits = ms.inits, priors = ms.priors, n.samples = 30000, n.omp.threads = 1, verbose = TRUE, 
    n.report = 6000, n.burn = 10000, n.thin = 50, n.chains = 3)

Samples per Chain: 30000
Burn-in: 10000
Thinning Rate: 50
Number of Chains: 3
Total Posterior Samples: 1200
Run Time (min): 58.0988

----------------------------------------
	Species Level
----------------------------------------
Occurrence (logit scale): 
                                Mean     SD      5%     50%     95%   Rhat  ESS
scale(tol_rel)-sp17           0.4991 0.3547 -0.0349  0.4738  1.1109 1.0103 1084
scale(tol_rel)-sp18           0.1041 0.5208 -0.7432  0.1037  0.9714 0.9997 1200
scale(tol_rel)-sp19          -0.1110 0.3098 -0.6005 -0.1166  0.3976 1.0049 1200
scale(tol_rel)-sp20           0.1855 0.5819 -0.7942  0.1973  1.1412 1.0019  984
scale(tol_rel)-sp21          -0.0348 0.3607 -0.6570 -0.0321  0.5324 1.0022 1200
scale(tol_rel)-sp22           1.3639 0.4381  0.6837  1.3440  2.1256 1.0018 1200
scale(tol_rel)-sp23           0.1703 0.5956 -0.8097  0.1983  1.1786 1.0010 1200
scale(tol_rel)-sp24          -0.2096 0.5246 -1.0843 -0.2017  0.5781 1.0068 1099
scale(tol_rel)-sp25           0.7555 0.3701  0.1704  0.7490  1.3867 1.0014 1200
scale(tol_rel)-sp26           0.5325 0.4116 -0.1259  0.5160  1.2261 1.0093 1042
scale(tol_rel)-sp27           0.7609 0.3322  0.2783  0.7409  1.3126 1.0012 1200
scale(tol_rel)-sp28           0.7859 0.2855  0.3632  0.7707  1.2727 1.0087 1324
scale(tol_rel)-sp29           0.2091 0.5508 -0.6913  0.2309  1.0561 1.0001 1200
scale(tol_rel)-sp30           0.0549 0.2547 -0.3499  0.0520  0.4928 1.0023  911
scale(tol_rel)-sp31           0.1081 0.3398 -0.3984  0.0960  0.6803 1.0028 1095
scale(tol_rel)-sp32           0.1713 0.5338 -0.6790  0.1659  1.0362 1.0040 1414
scale(tol_rel)-sp33           0.4790 0.3283 -0.0265  0.4607  1.0347 1.0024 1082
scale(tol_rel)-sp34           0.5387 0.3496 -0.0465  0.5383  1.1192 1.0143 1102
scale(tol_rel)-sp35           0.9376 0.2273  0.5773  0.9292  1.3351 1.0013 1324
scale(tol_rel)-sp36          -0.4364 0.3503 -1.0087 -0.4336  0.1146 1.0102 1366
scale(tol_rel)-sp37           0.2396 0.3441 -0.3039  0.2170  0.8430 1.0004 1200
scale(tol_rel)-sp38           0.5399 0.3054  0.0803  0.5304  1.0630 1.0047 1200
scale(tol_rel)-sp39           0.8687 0.3192  0.3812  0.8580  1.4067 1.0132 1200
scale(tol_rel)-sp40           0.1051 0.4923 -0.7530  0.1358  0.8474 1.0095 1363
scale(tol_rel)-sp41          -0.5102 0.3417 -1.0851 -0.4981  0.0082 1.0072 1200
scale(tol_rel)-sp42           0.8076 0.2426  0.4354  0.7954  1.2351 1.0054 1200
scale(tol_rel)-sp43          -0.8877 0.2955 -1.3761 -0.8746 -0.4196 1.0228 1200
scale(tol_rel)-sp44           0.7288 0.2580  0.3278  0.7222  1.1547 1.0018 1177
scale(tol_rel)-sp45           0.8349 0.2949  0.3852  0.8252  1.3640 1.0007 1323
scale(tol_rel)-sp46           0.2107 0.3644 -0.3959  0.2131  0.7887 1.0020 1200
scale(tol_rel)-sp47          -0.2910 0.3352 -0.8335 -0.3037  0.2750 1.0082 1134
scale(tol_rel)-sp48           0.2165 0.5173 -0.6368  0.2456  1.0781 1.0006 1200
scale(tol_rel)-sp49           0.7065 0.2384  0.3302  0.7028  1.1006 1.0109 1200
scale(tol_rel)-sp50           0.3387 0.5294 -0.5230  0.3436  1.2457 1.0017 1320
scale(tol_rel)-sp51          -0.3461 0.4129 -0.9850 -0.3728  0.3479 1.0041  994
scale(tol_rel)-sp52          -0.0749 0.5143 -0.9281 -0.0784  0.7576 1.0015 1200
scale(tol_rel)-sp53          -0.0791 0.5014 -0.9365 -0.0570  0.7002 1.0040 1200
scale(tol_rel)-sp54          -0.0273 0.3549 -0.5827 -0.0412  0.5539 1.0036 1200
scale(tol_rel)-sp55          -0.0122 0.2330 -0.3955 -0.0073  0.3594 1.0015 1200
scale(tol_rel)-sp56          -0.2365 0.2385 -0.6290 -0.2349  0.1591 1.0006 1200
scale(tol_rel)-sp57           0.2379 0.1885 -0.0775  0.2370  0.5538 1.0101 1200
scale(tol_rel)-sp58           0.5735 0.2011  0.2646  0.5663  0.9156 1.0059 1200
scale(tol_rel)-sp59           0.6536 0.3534  0.1142  0.6492  1.2500 1.0148 1075
scale(tol_rel)-sp60           0.2178 0.3417 -0.3414  0.2213  0.8042 1.0020 1200
scale(tol_rel)-sp61           0.1421 0.4251 -0.5624  0.1556  0.7915 1.0001 1054
