"fid","plot_id","geom","ldi_250ft","ldi_500ft","ldi_1k","ldi_1k_2005","ldi_2k","ldi_3k"
381,"3439_1st",POINT (2154993.325066811 652930.843984555),0.0,0.0008739192047678,1.224288752709874,0.6480434946269974,3.4783198559493957,6.168399781651898
382,"3440_1st",POINT (2233392.425504499 689297.6646061378),0.7916047040674011,0.7770501133836439,1.5428300130759198,0.8488083744182797,1.6066164867233046,1.9269983567084714
383,"3441_1st",POINT (2258755.6445962866 697598.5654586662),0.776827109769228,0.9488853498893114,0.6403277295809883,0.31614095940187525,2.369518672334753,3.571433522152394
384,"3443_1st",POINT (2124286.3797093523 663543.8509571565),0.9455319511472995,6.71033452137592,3.6664615981682473,2.6391284967363102,4.487752951694178,3.6043992723367815
385,"3444_1st",POINT (2225055.0655883397 625460.7662584011),0.0,0.026448951139570895,0.45335885724288183,0.21896564798627602,0.7021090833688581,0.4677405150855223
386,"3449_1st",POINT (2263267.42372911 689651.5496329039),0.0,0.0,0.05812278175344328,0.026811711445810328,0.10198977846848262,0.26626338642783415
387,"3452_1st",POINT (2208762.255462243 648305.7873446139),2.677392190516285,3.509089416599316,7.129395015660879,8.285254277202453,7.485138737260028,8.115888045078588
388,"3453_1st",POINT (2263847.16895546 637597.5518585719),0.5224850360422342,0.5968060019102668,0.48199493100896945,0.23357902920102866,0.3942426264925461,0.40224418723790784
389,"3455_1st",POINT (2151947.7892766492 661513.8538539424),0.9999186882672844,2.0656983645063254,8.374490097383553,11.696805200795142,8.129125223709393,7.211560681216319
390,"3457_1st",POINT (2262458.145981067 700905.3285790558),0.0,0.0,0.13612528902816645,0.06336240050244898,0.49405486216573175,0.9460045740841848
391,"3459_1st",POINT (2152573.390663187 615425.6952306442),0.0,0.0,0.06394213611542425,0.0295159615012716,1.0321190997399297,2.3795535045810756
392,"3461_1st",POINT (2265462.9070767295 690072.3197489845),0.2893355376186184,0.35487232642112954,0.28985949473279266,0.13735038336546293,0.22189000642833784,0.21031274337290295
