
Call:
msPGOcc(occ.formula = occ_fullrda, det.formula = det_best, data = bbs_occobject, 
    inits = ms.inits, priors = ms.priors, n.samples = n.samples, 
    n.omp.threads = n.omp.threads, verbose = TRUE, n.report = n.report, 
    n.burn = n.burn, n.thin = n.thin, n.chains = n.chains)

Samples per Chain: 30000
Burn-in: 10000
Thinning Rate: 50
Number of Chains: 3
Total Posterior Samples: 1200
Run Time (min): 51.4768

----------------------------------------
	Species Level
----------------------------------------
Occurrence (logit scale): 
                         Mean     SD      5%     50%     95%   Rhat  ESS
(Intercept)-YBCU      -0.3074 1.7022 -2.5029 -0.6177  2.9539 1.0416  238
(Intercept)-YEWA      -1.2500 0.2579 -1.6777 -1.2516 -0.8397 1.0037 1200
(Intercept)-YTVI       0.0036 1.4012 -1.6177 -0.2731  2.5706 1.0721  243
(Intercept)-YTWA      -3.4410 0.4955 -4.3274 -3.4158 -2.6604 1.0000 1200
scale(tol_rel)-ACFL   -1.2241 0.2469 -1.6258 -1.2153 -0.8210 1.0042 1200
scale(tol_rel)-ALFL    0.7604 0.5663 -0.1782  0.7561  1.7096 1.0046 1102
scale(tol_rel)-AMCR   -0.2506 0.2613 -0.6793 -0.2575  0.1872 1.0015 1079
scale(tol_rel)-AMGO   -0.1454 0.3899 -0.7831 -0.1526  0.4845 1.0012 1339
scale(tol_rel)-AMKE    0.5323 0.5931 -0.3806  0.5214  1.5422 1.0081 1349
scale(tol_rel)-AMRE    0.3966 0.3881 -0.1939  0.3827  1.0633 1.0012 1200
scale(tol_rel)-AMRO    0.5661 0.5455 -0.2499  0.5378  1.5228 1.0073 1200
scale(tol_rel)-AMWO    0.1936 0.4663 -0.5445  0.1844  0.9676 1.0052 1200
scale(tol_rel)-BADO    0.1583 0.5479 -0.7000  0.1310  1.1016 1.0017 1200
scale(tol_rel)-BAEA    0.4037 0.4974 -0.3980  0.3918  1.2244 0.9993 1200
scale(tol_rel)-BANS    1.1195 0.5031  0.3166  1.1179  1.9329 1.0055 1200
scale(tol_rel)-BAOR    0.7926 0.3139  0.3200  0.7781  1.3226 1.0064 1200
scale(tol_rel)-BARS    0.7350 0.2923  0.2794  0.7197  1.2360 1.0018 1200
scale(tol_rel)-BCCH   -0.1567 0.6243 -1.1688 -0.1871  0.9349 1.0031 1002
scale(tol_rel)-BEKI    0.1159 0.4296 -0.5334  0.0911  0.8387 1.0106 1019
scale(tol_rel)-BGGN   -0.4072 0.2714 -0.8576 -0.3989  0.0277 1.0072 1200
scale(tol_rel)-BHCO    0.5369 0.4633 -0.1526  0.4925  1.3451 1.0023 1216
scale(tol_rel)-BHVI    0.1082 0.5948 -0.8953  0.1259  1.0167 1.0024 1072
scale(tol_rel)-BLJA   -0.2459 0.5175 -1.0093 -0.3042  0.6827 1.0105 1200
scale(tol_rel)-BOBO    0.0823 0.5760 -0.8854  0.0799  1.0298 1.0146 1101
scale(tol_rel)-BRCR   -0.0457 0.3658 -0.6592 -0.0503  0.5641 1.0046 1200
scale(tol_rel)-BRTH    1.4917 0.4855  0.7497  1.4540  2.3325 1.0003 1200
scale(tol_rel)-BTNW   -0.0154 0.6153 -1.0678 -0.0028  0.9613 1.0045 1200
scale(tol_rel)-BWHA   -0.2601 0.5826 -1.2249 -0.2507  0.6391 0.9997 1417
scale(tol_rel)-BWWA    0.7303 0.3742  0.1245  0.7300  1.3361 1.0039 1200
scale(tol_rel)-CANG    0.4716 0.5212 -0.3799  0.4623  1.3258 1.0056 1200
scale(tol_rel)-CARW    0.8344 0.3118  0.3739  0.8190  1.4057 1.0054 1200
scale(tol_rel)-CEDW    0.8592 0.3072  0.3965  0.8358  1.3691 1.0115 1200
scale(tol_rel)-CERW    0.2675 0.5950 -0.6839  0.2618  1.2822 1.0032 1200
scale(tol_rel)-CHSP    0.2599 0.2330 -0.1335  0.2619  0.6409 1.0021 1353
scale(tol_rel)-CHSW    0.0977 0.4611 -0.6088  0.0694  0.8870 1.0094 1200
scale(tol_rel)-CLSW    0.2728 0.5907 -0.7337  0.2989  1.2068 1.0004 1311
scale(tol_rel)-COGR    0.6516 0.2725  0.2368  0.6263  1.1425 1.0259 1303
scale(tol_rel)-COHA    0.4358 0.3888 -0.1356  0.4017  1.1163 1.0004 1102
scale(tol_rel)-COYE    1.0607 0.2353  0.6849  1.0455  1.4700 1.0016  963
scale(tol_rel)-DEJU   -0.6448 0.3688 -1.2820 -0.6143 -0.0823 1.0187 1200
scale(tol_rel)-DOWO    0.1129 0.4261 -0.5552  0.0945  0.8340 1.0067 1200
scale(tol_rel)-EABL    0.5997 0.3754  0.0918  0.5483  1.3053 1.0032 1413
scale(tol_rel)-EAKI    0.9963 0.3211  0.4905  0.9846  1.5592 1.0020 1200
scale(tol_rel)-EAME    0.0726 0.5112 -0.7613  0.0792  0.9074 1.0125 1200
scale(tol_rel)-EAPH   -0.3104 0.4245 -0.9196 -0.3342  0.4434 1.0048 1004
scale(tol_rel)-EATO    0.5831 0.2439  0.2044  0.5703  0.9938 0.9995 1458
scale(tol_rel)-EAWP   -1.0602 0.2938 -1.5739 -1.0463 -0.5971 1.0007 1200
scale(tol_rel)-EUST    0.8528 0.2560  0.4557  0.8425  1.2919 1.0151 1200
scale(tol_rel)-FISP    0.5892 0.2675  0.1866  0.5866  1.0412 1.0032 1200
scale(tol_rel)-GBHE    0.2104 0.5837 -0.6929  0.1844  1.1913 1.0073 1103
scale(tol_rel)-GCFL   -0.2694 0.5078 -0.9931 -0.3236  0.6176 1.0065 2068
scale(tol_rel)-GHOW    0.2569 0.5761 -0.6882  0.2540  1.2064 1.0003 1200
scale(tol_rel)-GRCA    0.7203 0.2338  0.3632  0.7132  1.1223 1.0076 1200
scale(tol_rel)-GRHE    0.8285 0.5213  0.0143  0.7894  1.7012 1.0042  994
scale(tol_rel)-HAWO   -0.6182 0.3243 -1.1392 -0.6069 -0.1119 1.0113 1520
scale(tol_rel)-HERG   -0.1131 0.5871 -1.1095 -0.0924  0.8309 1.0040 1200
scale(tol_rel)-HETH   -0.1236 0.5330 -0.9974 -0.1157  0.7492 0.9996 1200
scale(tol_rel)-HOFI    0.2308 0.2680 -0.1843  0.2239  0.6685 1.0288 1200
scale(tol_rel)-HOSP    0.1911 0.2173 -0.1609  0.1870  0.5641 1.0145 1059
scale(tol_rel)-HOWA   -0.5425 0.2531 -0.9840 -0.5322 -0.1408 1.0036 1200
scale(tol_rel)-HOWR    0.2954 0.2909 -0.1334  0.2685  0.8214 1.0170 1306
scale(tol_rel)-INBU    0.4078 0.2072  0.0757  0.4034  0.7549 1.0213 1508
scale(tol_rel)-KILL    0.5675 0.3085  0.0678  0.5629  1.0815 1.0006 1066
scale(tol_rel)-LOWA    0.1997 0.3337 -0.3628  0.2083  0.7485 1.0085 1355
scale(tol_rel)-MALL    0.4294 0.4013 -0.2189  0.4197  1.0663 1.0115 1200
scale(tol_rel)-MODO    1.2241 0.4115  0.6281  1.1729  1.9680 1.0000 1200
scale(tol_rel)-NOCA    0.3905 0.4819 -0.3840  0.3909  1.2196 1.0046 1200
scale(tol_rel)-NOFL    0.3642 0.5134 -0.3980  0.3225  1.2951 1.0011 1293
scale(tol_rel)-NOPA   -0.2155 0.6140 -1.2698 -0.1967  0.7439 1.0001 1099
scale(tol_rel)-NRWS    0.7346 0.3997  0.1184  0.7076  1.4406 1.0027 1200
scale(tol_rel)-OROR    1.1674 0.3309  0.6782  1.1398  1.7497 1.0113 1200
scale(tol_rel)-OVEN   -0.0120 0.3391 -0.5865 -0.0029  0.5146 1.0006 1200
scale(tol_rel)-PIWO   -0.2833 0.4628 -0.9910 -0.3141  0.4921 1.0009 1092
scale(tol_rel)-PUFI    1.1317 0.5232  0.3104  1.0975  2.0317 1.0163 1046
scale(tol_rel)-PUMA   -0.0131 0.5666 -0.9613  0.0011  0.9061 1.0006 1200
scale(tol_rel)-RBGR    0.5182 0.2836  0.0864  0.4940  1.0023 1.0033 1200
scale(tol_rel)-RBGU    0.3296 0.3548 -0.2446  0.3361  0.8967 0.9998 1200
scale(tol_rel)-RBNU    0.2459 0.5745 -0.6872  0.2520  1.1687 1.0025 1095
scale(tol_rel)-RBWO   -0.1500 0.5224 -0.9607 -0.1794  0.7665 1.0017 1200
