Process,Species,Covariate,Mean,SD,2.5CI,50CI,97.5CI,Rhat,ESS,5.0CI,95.0CI,Migratory,Sig
Occupancy,SavannahSparrow,Intercept,-5.0307,1.0235,-7.3205,-4.9593,-3.0331,1.0052,742,-6.7879,-3.4024,M,YES
Occupancy,ScarletTanager,Intercept,0.8502,0.379,0.2052,0.8272,1.6605,1.0004,1492,0.276,1.5027,NE,YES
Occupancy,SongSparrow,Intercept,0.2887,0.1933,-0.0885,0.2832,0.6764,1.0001,1200,-0.0293,0.6171,R,NO
Occupancy,SwampSparrow,Intercept,-3.6221,0.5157,-4.7225,-3.5944,-2.6902,1.0117,1200,-4.5056,-2.8003,M,YES
Occupancy,TreeSwallow,Intercept,-3.1204,0.5826,-4.2638,-3.1219,-1.8977,1.0001,1200,-4.0721,-2.1706,M,YES
Occupancy,TuftedTitmouse,Intercept,3.1935,0.5845,2.3261,3.1203,4.6245,0.9999,1200,2.4271,4.2254,R,YES
Occupancy,TurkeyVulture,Intercept,-1.0948,1.0513,-2.8063,-1.2164,1.1005,1.0027,707,-2.5978,0.6554,M,NO
Occupancy,Veery,Intercept,-1.8523,0.5756,-2.832,-1.9106,-0.5464,1.0029,1090,-2.6558,-0.8698,NE,YES
Occupancy,VirginiaRail,Intercept,-5.7647,1.5659,-9.0737,-5.6851,-2.8961,1.0137,598,-8.2566,-3.3079,M,YES
Occupancy,WarblingVireo,Intercept,-1.9453,0.2904,-2.5138,-1.9416,-1.4033,1.0027,1200,-2.4266,-1.4854,NE,YES
Occupancy,White-breastedNuthatch,Intercept,2.8798,0.8356,1.751,2.7197,4.9774,1.0048,864,1.8799,4.3641,R,YES
Occupancy,White-eyedVireo,Intercept,-5.25,1.0075,-7.6011,-5.1533,-3.5704,1.0095,992,-7.054,-3.7932,NE,YES
Occupancy,WillowFlycatcher,Intercept,-3.4582,0.5255,-4.5493,-3.4413,-2.5009,1.0077,1200,-4.3584,-2.6644,NE,YES
Occupancy,WildTurkey,Intercept,-1.8149,1.6397,-3.906,-2.2459,2.6282,1.0049,206,-3.6765,1.4591,R,NO
Occupancy,WinterWren,Intercept,-4.3014,0.951,-6.3181,-4.2587,-2.357,0.9997,922,-5.9249,-2.8223,M,YES
