Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory,Sig
Occupancy,Rose-breastedGrosbeak,Intercept,-0.252,0.5313,-0.9711,-0.3235,0.6853,1.0024,1248,NE,NO
Occupancy,Ring-billedGull,Intercept,-2.9602,0.513,-3.8177,-2.9546,-2.1394,1.0006,1200,R,YES
Occupancy,Red-breastedNuthatch,Intercept,-4.5402,1.2899,-6.6667,-4.5031,-2.4482,1.0149,770,M,YES
Occupancy,Red-belliedWoodpecker,Intercept,3.3068,0.737,2.2933,3.1937,4.692,1.0092,1044,R,YES
Occupancy,Red-eyedVireo,Intercept,2.948,0.4269,2.3029,2.9201,3.7037,1.0033,1091,NE,YES
Occupancy,Red-headedWoodpecker,Intercept,-2.6928,0.9329,-4.0266,-2.8116,-0.932,1.0147,659,R,YES
Occupancy,RockPigeon,Intercept,-3.6503,1.2217,-5.5095,-3.7579,-1.5443,1.0074,501,R,YES
Occupancy,Red-shoulderedHawk,Intercept,-0.0175,1.4139,-1.8598,-0.2383,2.5896,1.0141,386,R,NO
Occupancy,Red-tailedHawk,Intercept,-1.0947,1.1175,-2.4014,-1.2879,0.9685,1.1004,325,R,NO
Occupancy,Ruby-throatedHummingbird,Intercept,2.1017,1.5139,0.1697,1.8216,5.0406,1.0056,468,NE,YES
Occupancy,Red-wingedBlackbird,Intercept,-0.9339,0.2161,-1.307,-0.9229,-0.5994,1.0015,1249,M,YES
Occupancy,SavannahSparrow,Intercept,-5.092,1.0146,-6.8631,-5.0196,-3.5963,1.0089,985,M,YES
Occupancy,ScarletTanager,Intercept,0.8144,0.3607,0.2592,0.794,1.4121,0.9994,1417,NE,YES
Occupancy,SongSparrow,Intercept,0.3049,0.1944,0.001,0.3026,0.632,1.0077,1200,R,YES
Occupancy,SwampSparrow,Intercept,-3.6374,0.4912,-4.4666,-3.6159,-2.8687,0.9999,1051,M,YES
Occupancy,TreeSwallow,Intercept,-3.0989,0.5713,-4.031,-3.1008,-2.2268,1.0074,1196,M,YES
Occupancy,TuftedTitmouse,Intercept,3.3857,0.6673,2.4707,3.3039,4.6245,1.004,1177,R,YES
Occupancy,TurkeyVulture,Intercept,-1.0222,1.0744,-2.5968,-1.0725,0.881,1.0044,611,M,NO
Occupancy,Veery,Intercept,-2.2408,0.5544,-3.0859,-2.2728,-1.378,1.011,1200,NE,YES
Occupancy,VirginiaRail,Intercept,-5.8825,1.5945,-8.688,-5.7558,-3.5628,1.024,694,M,YES
Occupancy,WarblingVireo,Intercept,-2.0728,0.3351,-2.6375,-2.0656,-1.5272,1.0017,1138,NE,YES
Occupancy,White-breastedNuthatch,Intercept,3.0148,0.8156,1.9707,2.8697,4.4985,0.9999,964,R,YES
Occupancy,White-eyedVireo,Intercept,-5.2691,0.9236,-6.9008,-5.2113,-3.8828,1.0048,1069,NE,YES
Occupancy,WillowFlycatcher,Intercept,-3.4987,0.5266,-4.4124,-3.4671,-2.6505,0.9989,1144,NE,YES
Occupancy,WildTurkey,Intercept,-1.7523,1.5493,-3.6378,-2.1136,1.3565,1.024,201,R,NO
Occupancy,WinterWren,Intercept,-4.3198,0.952,-5.8885,-4.3039,-2.7741,1.0067,926,M,YES
Occupancy,WoodDuck,Intercept,-3.8041,1.1623,-5.5289,-3.8889,-1.7607,1.0113,579,M,YES
Occupancy,WoodThrush,Intercept,0.8538,0.3225,0.3714,0.8244,1.4345,1.0029,1200,NE,YES
Occupancy,Yellow-billedCuckoo,Intercept,-1.791,1.2033,-3.4127,-1.9382,0.3947,1.0045,309,NE,NO
Occupancy,YellowWarbler,Intercept,-1.2857,0.2747,-1.7395,-1.2906,-0.8457,1.0022,1351,NE,YES
Occupancy,Yellow-throatedVireo,Intercept,-1.6814,0.7249,-2.6381,-1.7783,-0.4967,1.0735,506,NE,YES
Occupancy,Yellow-throatedWarbler,Intercept,-3.0359,0.7513,-4.148,-3.0813,-1.7394,1.0079,932,NE,YES
Occupancy,AcadianFlycatcher,tol_rel,-0.9695,0.2481,-1.4005,-0.9638,-0.5879,1.0177,1200,NE,YES
Occupancy,AlderFlycatcher,tol_rel,0.6577,0.5153,-0.1615,0.6603,1.5103,1.0075,1390,NE,NO
Occupancy,AmericanCrow,tol_rel,0.2199,0.264,-0.193,0.2046,0.6834,0.9997,1200,R,NO
Occupancy,AmericanGoldfinch,tol_rel,0.1486,0.3808,-0.4349,0.1329,0.8245,1.0052,1161,M,NO
Occupancy,AmericanKestrel,tol_rel,0.1963,0.534,-0.7264,0.1936,1.0538,0.9997,1338,R,NO
Occupancy,AmericanRedstart,tol_rel,0.3004,0.3702,-0.31,0.3034,0.9178,1.0058,1200,NE,NO
Occupancy,AmericanRobin,tol_rel,0.2802,0.3378,-0.2367,0.2576,0.8635,1.0004,1318,M,NO
Occupancy,AmericanWoodcock,tol_rel,0.2896,0.4623,-0.4829,0.3048,1.0304,1.001,1397,M,NO
Occupancy,BarredOwl,tol_rel,0.8102,0.4623,0.0689,0.8062,1.579,1.0081,1351,R,YES
Occupancy,BaldEagle,tol_rel,0.3522,0.4949,-0.4622,0.3562,1.2076,1.0049,1200,R,NO
Occupancy,BankSwallow,tol_rel,1.0094,0.4734,0.251,1.0077,1.7611,0.9994,1200,NE,YES
Occupancy,BaltimoreOriole,tol_rel,0.7448,0.2554,0.3304,0.7346,1.1802,1.0183,1247,NE,YES
Occupancy,BarnSwallow,tol_rel,0.5956,0.398,-0.0014,0.5853,1.2545,0.9992,1200,NE,NO
Occupancy,Black-cappedChickadee,tol_rel,0.0252,0.4721,-0.6974,0.0074,0.8345,1.0053,1200,R,NO
