
Call:
msPGOcc(occ.formula = occ_landvegrda, det.formula = det_best, data = bbs_occobject_three, 
    inits = ms.inits, priors = ms.priors, n.samples = n.samples, n.omp.threads = n.omp.threads, 
    verbose = TRUE, n.report = n.report, n.burn = n.burn, n.thin = n.thin, 
    n.chains = n.chains)

Samples per Chain: 30000
Burn-in: 10000
Thinning Rate: 50
Number of Chains: 3
Total Posterior Samples: 1200
Run Time (min): 68.0492

----------------------------------------
	Species Level
----------------------------------------
Occurrence (logit scale): 
                           Mean     SD      5%     50%     95%   Rhat  ESS
scale(monocots)-ALFL    -0.3090 0.4637 -1.0731 -0.3037  0.4415 1.0010 1200
scale(monocots)-AMCR    -0.1453 0.3003 -0.6317 -0.1478  0.3527 1.0024 1200
scale(monocots)-AMGO    -0.1736 0.4649 -0.9343 -0.1782  0.6145 1.0063 1200
scale(monocots)-AMKE    -0.1084 0.4546 -0.8257 -0.1179  0.6555 1.0076 1200
scale(monocots)-AMRE    -0.0631 0.3749 -0.6901 -0.0770  0.5510 1.0196 1200
scale(monocots)-AMRO    -0.4203 0.3283 -0.9879 -0.4085  0.1086 0.9997 1200
scale(monocots)-AMWO    -0.3304 0.4390 -1.0646 -0.3331  0.3970 1.0081 1058
scale(monocots)-BADO    -0.2301 0.4274 -0.9101 -0.2409  0.4757 1.0087  976
scale(monocots)-BAEA    -0.2669 0.4490 -1.0076 -0.2652  0.4472 0.9998 1200
scale(monocots)-BANS    -0.4789 0.4514 -1.2294 -0.4754  0.2455 0.9992 1200
scale(monocots)-BAOR    -0.3134 0.2533 -0.7279 -0.3057  0.0998 0.9989 1200
scale(monocots)-BARS    -0.5580 0.3886 -1.2347 -0.5424  0.0563 1.0005 1200
scale(monocots)-BCCH     0.2244 0.3829 -0.3879  0.2160  0.8552 1.0011 1545
scale(monocots)-BEKI    -0.2260 0.3818 -0.8534 -0.2303  0.3674 1.0041 1200
scale(monocots)-BGGN     0.4095 0.3197 -0.0918  0.4024  0.9532 0.9998 1200
scale(monocots)-BHCO    -0.1690 0.3399 -0.6960 -0.1732  0.3992 1.0119  971
scale(monocots)-BHVI    -0.0663 0.4442 -0.7931 -0.0836  0.6728 1.0035 1200
scale(monocots)-BLJA    -0.0677 0.3994 -0.7050 -0.0786  0.5847 0.9991 1318
scale(monocots)-BOBO    -0.1438 0.4833 -0.9183 -0.1374  0.6359 1.0106 1055
scale(monocots)-BRCR     0.1540 0.3385 -0.3935  0.1588  0.7009 0.9996 1193
scale(monocots)-BRTH    -0.5952 0.4262 -1.2946 -0.5735  0.0437 1.0016 1200
scale(monocots)-BTNW    -0.1735 0.4734 -0.9365 -0.1737  0.5891 1.0023 2902
scale(monocots)-BWHA    -0.0300 0.4451 -0.7529 -0.0301  0.7154 1.0069 1319
scale(monocots)-BWWA    -0.4763 0.4051 -1.1680 -0.4752  0.1404 1.0130 1200
scale(monocots)-CANG    -0.1979 0.4068 -0.8821 -0.1926  0.4735 1.0079 1200
scale(monocots)-CARW     0.1861 0.2855 -0.3065  0.1913  0.6616 1.0023 1200
scale(monocots)-CEDW    -1.0165 0.3257 -1.5445 -1.0041 -0.5399 1.0100 1200
scale(monocots)-CERW    -0.1362 0.4812 -0.9113 -0.1374  0.6860 1.0020 1200
scale(monocots)-CHSP     0.0694 0.3166 -0.4313  0.0681  0.5943 1.0114 1339
scale(monocots)-CHSW    -0.3688 0.3953 -1.0039 -0.3670  0.2784 1.0035 1200
scale(monocots)-CLSW    -0.4179 0.4541 -1.1719 -0.4036  0.2842 1.0088 1200
scale(monocots)-COGR    -0.4461 0.3017 -0.9399 -0.4307  0.0486 1.0113  877
scale(monocots)-COHA    -0.2986 0.3513 -0.8940 -0.3010  0.2764 0.9998 1200
scale(monocots)-COYE    -0.4007 0.2355 -0.7883 -0.3992 -0.0102 1.0047 1200
scale(monocots)-DEJU     0.2187 0.3298 -0.3164  0.2132  0.7708 1.0021 1200
scale(monocots)-DOWO    -0.1077 0.3488 -0.6698 -0.1094  0.4594 1.0119 1200
scale(monocots)-EABL    -0.1051 0.3012 -0.5811 -0.1114  0.3805 1.0090 1200
scale(monocots)-EAKI    -0.5433 0.3873 -1.2244 -0.5387  0.0534 1.0024 1200
scale(monocots)-EAME    -0.1637 0.4395 -0.9101 -0.1548  0.5493 1.0031 1322
scale(monocots)-EAPH     0.3218 0.3053 -0.1628  0.3103  0.8430 0.9998 1200
scale(monocots)-EATO    -0.2866 0.2682 -0.7225 -0.2886  0.1499 1.0029 1200
scale(monocots)-EAWP     0.5523 0.3740 -0.0371  0.5387  1.1986 1.0072 1200
scale(monocots)-EUST    -0.7323 0.3338 -1.3099 -0.7229 -0.2091 1.0014 1200
scale(monocots)-FISP    -0.1791 0.3161 -0.7235 -0.1738  0.3345 1.0011 1329
scale(monocots)-GBHE    -0.2415 0.3871 -0.8722 -0.2279  0.3476 1.0112 1200
scale(monocots)-GCFL     0.2171 0.4206 -0.4929  0.2285  0.8904 1.0094 1135
scale(monocots)-GHOW    -0.0462 0.4699 -0.8076 -0.0360  0.6962 0.9996 1200
scale(monocots)-GRCA    -0.5695 0.2262 -0.9453 -0.5684 -0.2133 0.9997 1200
scale(monocots)-GRHE    -0.2398 0.4624 -0.9627 -0.2526  0.5516 1.0014 1200
scale(monocots)-HAWO    -0.0006 0.4192 -0.7236  0.0023  0.6516 1.0078 1200
scale(monocots)-HERG    -0.4102 0.4567 -1.1605 -0.4149  0.3391 1.0052 1200
scale(monocots)-HETH    -0.1065 0.4164 -0.7578 -0.1127  0.6178 1.0019 1200
scale(monocots)-HOFI    -0.5692 0.4150 -1.3027 -0.5466  0.0792 1.0006 1009
scale(monocots)-HOSP    -0.7387 0.3099 -1.2416 -0.7318 -0.2444 1.0081 1200
scale(monocots)-HOWA     0.0387 0.2480 -0.3446  0.0307  0.4497 1.0057 1200
scale(monocots)-HOWR    -0.1174 0.2151 -0.4706 -0.1264  0.2387 0.9998 1194
scale(monocots)-INBU    -0.4793 0.2257 -0.8565 -0.4766 -0.1221 1.0013 1200
scale(monocots)-KILL    -0.0078 0.3653 -0.6030  0.0002  0.5990 1.0000 1200
scale(monocots)-LOWA     0.4256 0.3453 -0.1270  0.4306  0.9935 1.0134 1317
scale(monocots)-MALL    -0.0498 0.3901 -0.6935 -0.0402  0.5821 1.0135 1200
scale(monocots)-MODO    -0.1488 0.3169 -0.6872 -0.1354  0.3385 1.0002 1200
scale(monocots)-NOCA    -0.2397 0.3345 -0.7918 -0.2359  0.3192 1.0044 1200
scale(monocots)-NOFL    -0.2577 0.3842 -0.8868 -0.2435  0.3433 1.0017 1200
scale(monocots)-NOPA    -0.3223 0.4833 -1.1070 -0.3140  0.4466 0.9991 1200
scale(monocots)-NRWS    -0.1402 0.3747 -0.7644 -0.1390  0.4692 1.0128 1200
scale(monocots)-OROR    -0.8434 0.3847 -1.4966 -0.8222 -0.2292 1.0073 1200
scale(monocots)-OVEN    -0.2271 0.3189 -0.7678 -0.2226  0.2966 1.0498  977
scale(monocots)-PIWO    -0.0356 0.3963 -0.6599 -0.0330  0.6042 1.0030 1200
scale(monocots)-PUFI    -0.3178 0.4742 -1.1260 -0.2934  0.4401 0.9994 1200
scale(monocots)-PUMA    -0.1481 0.4824 -0.9276 -0.1480  0.6397 1.0073  993
scale(monocots)-RBGR    -0.1016 0.3292 -0.6678 -0.0859  0.3950 1.0016 1200
scale(monocots)-RBGU    -0.4760 0.3571 -1.0865 -0.4781  0.0930 1.0030 1200
scale(monocots)-RBNU    -0.3509 0.4738 -1.1035 -0.3518  0.4549 1.0071 1200
scale(monocots)-RBWO     0.1247 0.4159 -0.5428  0.1310  0.8156 1.0020 1200
scale(monocots)-REVI     0.6276 0.3878  0.0312  0.5999  1.3070 1.0001 1524
scale(monocots)-RHWO     0.2163 0.4123 -0.4304  0.1944  0.9339 1.0092 1200
scale(monocots)-ROPI    -0.4269 0.4496 -1.1684 -0.4174  0.2931 1.0008 1338
scale(monocots)-RSHA    -0.1186 0.4756 -0.8970 -0.1236  0.6366 1.0290 1200
scale(monocots)-RTHA    -0.4135 0.3805 -1.0915 -0.4105  0.1769 1.0008 1063
scale(monocots)-RTHU    -0.3576 0.4453 -1.0778 -0.3704  0.3884 1.0093 1200
scale(monocots)-RWBL    -0.4517 0.2298 -0.8408 -0.4481 -0.0892 0.9990 1200
scale(monocots)-SAVS    -0.1273 0.4512 -0.8755 -0.1243  0.6125 1.0018 1276
scale(monocots)-SCTA     0.5912 0.3563  0.0257  0.5829  1.1976 1.0362 1200
scale(monocots)-SOSP    -0.3036 0.1938 -0.6314 -0.3002  0.0129 1.0066 1200
scale(monocots)-SWSP    -0.3560 0.3742 -0.9795 -0.3526  0.2500 1.0248 1204
scale(monocots)-TRES    -0.4201 0.3894 -1.0610 -0.4287  0.2374 1.0100 1087
scale(monocots)-TUTI    -0.1373 0.4007 -0.8002 -0.1369  0.5322 1.0150 1321
scale(monocots)-TUVU    -0.3467 0.4209 -1.0783 -0.3350  0.3212 1.0036 1953
scale(monocots)-VEER    -0.0859 0.3407 -0.6357 -0.0920  0.4789 1.0049 1200
scale(monocots)-VIRA    -0.1481 0.4979 -0.9466 -0.1405  0.6677 1.0004 1200
scale(monocots)-WAVI    -0.6459 0.2877 -1.1339 -0.6301 -0.2282 1.0017 1320
scale(monocots)-WBNU     0.1445 0.4329 -0.5926  0.1494  0.8138 1.0000 1200
scale(monocots)-WEVI    -0.1525 0.4341 -0.8544 -0.1459  0.5658 1.0114 1200
scale(monocots)-WIFL    -0.6598 0.3886 -1.3015 -0.6497 -0.0568 1.0034 1200
scale(monocots)-WITU    -0.2265 0.4251 -0.9210 -0.2338  0.4657 1.0234 1068
scale(monocots)-WIWR    -0.1691 0.4293 -0.8857 -0.1656  0.5270 1.0085 1200
scale(monocots)-WODU    -0.3231 0.4487 -1.0680 -0.3310  0.4027 1.0025 1200
scale(monocots)-WOTH     0.3524 0.3818 -0.2282  0.3361  1.0275 1.0002 1513
scale(monocots)-YBCU     0.0213 0.4224 -0.6872  0.0242  0.7122 1.0014 1200
scale(monocots)-YEWA    -0.9128 0.2929 -1.4059 -0.9070 -0.4354 1.0017 1200
scale(monocots)-YTVI     0.2373 0.3496 -0.3428  0.2316  0.8248 1.0034 1200
scale(monocots)-YTWA    -0.0578 0.3784 -0.6566 -0.0639  0.5678 1.0032 1200
scale(perc_open)-ACFL   -0.4722 0.3163 -1.0447 -0.4479 -0.0005 0.9992 1002
scale(perc_open)-ALFL    0.5463 0.3674 -0.0629  0.5334  1.1587 1.0012 1101
scale(perc_open)-AMCR   -0.0037 0.3497 -0.5185 -0.0356  0.6328 1.0115 1200
scale(perc_open)-AMGO    0.2365 0.3773 -0.3366  0.2036  0.8526 1.0011 1200
scale(perc_open)-AMKE    0.1140 0.4084 -0.5695  0.1475  0.7292 1.0001 1514
scale(perc_open)-AMRE   -0.0223 0.3693 -0.6442 -0.0253  0.5827 1.0084 1200
scale(perc_open)-AMRO    0.2959 0.4001 -0.3287  0.2757  0.9700 1.0032 1200
scale(perc_open)-AMWO    0.4733 0.3439 -0.0733  0.4716  1.0420 1.0002 1245
scale(perc_open)-BADO    0.4136 0.3262 -0.1329  0.4120  0.9680 1.0006 1007
scale(perc_open)-BAEA    0.1277 0.4077 -0.5282  0.1220  0.7825 1.0032 1200
scale(perc_open)-BANS    0.6140 0.3352  0.0903  0.6012  1.1505 1.0143 1200
scale(perc_open)-BAOR    0.4772 0.2923  0.0550  0.4519  0.9922 1.0001 1200
scale(perc_open)-BARS    0.4487 0.3582 -0.1058  0.4252  1.0640 1.0001 1200
scale(perc_open)-BCCH    0.0237 0.3367 -0.4792 -0.0043  0.6029 1.0012 1073
scale(perc_open)-BEKI    0.2627 0.3421 -0.2726  0.2451  0.8452 1.0091 1200
scale(perc_open)-BGGN   -0.0831 0.2873 -0.5333 -0.1007  0.4219 1.0118 1056
scale(perc_open)-BHCO    0.4600 0.3558 -0.0743  0.4452  1.0885 1.0012 1115
scale(perc_open)-BHVI    0.0927 0.4127 -0.5791  0.0958  0.7265 1.0052 1200
scale(perc_open)-BLJA    0.0328 0.3341 -0.4655  0.0006  0.6319 1.0053 1200
scale(perc_open)-BOBO    0.1628 0.4084 -0.5089  0.1575  0.8109 1.0117 1304
scale(perc_open)-BRCR   -0.1063 0.3457 -0.6735 -0.1024  0.4421 1.0099 1200
scale(perc_open)-BRTH    0.7611 0.3149  0.2862  0.7456  1.2944 1.0008 1200
scale(perc_open)-BTNW    0.1542 0.4107 -0.5080  0.1631  0.8231 0.9993 1200
scale(perc_open)-BWHA    0.0688 0.3998 -0.5593  0.0743  0.6952 1.0267 1022
scale(perc_open)-BWWA    0.2396 0.3215 -0.2853  0.2407  0.7689 1.0000 1200
scale(perc_open)-CANG    0.3539 0.4234 -0.3151  0.3360  1.0589 1.0080 1200
scale(perc_open)-CARW    0.4303 0.3372 -0.0848  0.4108  0.9801 1.0027 1200
scale(perc_open)-CEDW    0.5065 0.3018  0.0517  0.4904  1.0334 1.0130 1200
scale(perc_open)-CERW    0.1817 0.4160 -0.5162  0.1837  0.8592 1.0055 1200
scale(perc_open)-CHSP    0.1537 0.3341 -0.3572  0.1285  0.7333 1.0015 1520
scale(perc_open)-CHSW    0.1948 0.3905 -0.3992  0.1785  0.8361 1.0065 1200
scale(perc_open)-CLSW    0.0616 0.3905 -0.6000  0.0835  0.7039 1.0026 1200
scale(perc_open)-COGR    0.4812 0.2977  0.0191  0.4593  0.9955 1.0150 1200
scale(perc_open)-COHA   -0.2367 0.3508 -0.8367 -0.2264  0.2955 1.0039 1200
scale(perc_open)-COYE    0.5336 0.2817  0.1238  0.5047  1.0281 1.0039 1013
scale(perc_open)-DEJU   -0.1473 0.3474 -0.7356 -0.1309  0.3836 1.0099 1200
scale(perc_open)-DOWO    0.3173 0.3757 -0.2544  0.3087  0.9133 1.0350 1093
scale(perc_open)-EABL    0.5572 0.2785  0.1440  0.5447  1.0383 1.0030 1801
scale(perc_open)-EAKI    0.4594 0.2474  0.0611  0.4536  0.8665 1.0058 1200
scale(perc_open)-EAME    0.0215 0.3846 -0.6236  0.0452  0.6193 1.0004 1082
scale(perc_open)-EAPH   -0.1622 0.3363 -0.7499 -0.1513  0.3396 1.0043 1200
scale(perc_open)-EATO    0.1064 0.2488 -0.2830  0.1041  0.5251 1.0041 1200
scale(perc_open)-EAWP   -0.0931 0.2257 -0.4569 -0.0928  0.2820 1.0008  777
scale(perc_open)-EUST    0.5504 0.2807  0.1300  0.5325  1.0282 1.0008 1200
scale(perc_open)-FISP    0.3736 0.2332 -0.0169  0.3700  0.7703 1.0002 1200
scale(perc_open)-GBHE    0.2457 0.3315 -0.3000  0.2373  0.8045 1.0011 1200
scale(perc_open)-GCFL    0.2858 0.3708 -0.2889  0.2697  0.8800 1.0021 1097
scale(perc_open)-GHOW    0.0929 0.3999 -0.5535  0.1020  0.7125 1.0185 1200
scale(perc_open)-GRCA    0.3790 0.2800 -0.0404  0.3540  0.8681 0.9997 1200
scale(perc_open)-GRHE    0.0543 0.3997 -0.6670  0.0917  0.6683 1.0025 1200
scale(perc_open)-HAWO    0.0514 0.4094 -0.6030  0.0363  0.7382 1.0081 1200
scale(perc_open)-HERG    0.0597 0.3710 -0.5811  0.0801  0.6253 0.9998 1200
scale(perc_open)-HETH    0.0079 0.3785 -0.6391  0.0352  0.5793 1.0024 1281
scale(perc_open)-HOFI    0.2786 0.3897 -0.3282  0.2755  0.9232 1.0061 1200
scale(perc_open)-HOSP    0.2651 0.2428 -0.1371  0.2607  0.6600 1.0023 1200
scale(perc_open)-HOWA   -0.3486 0.3016 -0.8815 -0.3339  0.1154 1.0004 1200
scale(perc_open)-HOWR    0.1303 0.2276 -0.2205  0.1165  0.5150 1.0059 1200
scale(perc_open)-INBU    0.5775 0.3022  0.1316  0.5502  1.1172 1.0047 1200
scale(perc_open)-KILL    0.4417 0.2975 -0.0429  0.4512  0.9420 1.0125 1200
scale(perc_open)-LOWA    0.0111 0.3555 -0.6162  0.0213  0.5844 1.0086 1229
scale(perc_open)-MALL    0.2951 0.3112 -0.2154  0.2985  0.7835 1.0055 1200
