Process,Species,Covariate,Mean,SD,2.5CI,50CI,97.5CI,Rhat,ESS,5.0CI,95.0CI
Occupancy,Louisiana Waterthrush,Intercept,-2.2586,0.4814,-3.1417,-2.2918,-1.2541,1.0082,1037,-3.0024,-1.4182
Occupancy,Mallard,Intercept,-2.3743,0.8614,-3.8117,-2.4717,-0.4307,1.0048,545,-3.6206,-0.7967
Occupancy,Mourning Dove,Intercept,-1.0594,0.5256,-2.0098,-1.1219,0.1043,1.0029,1200,-1.8572,-0.1574
Occupancy,Northern Cardinal,Intercept,2.6055,0.41,1.9092,2.563,3.4913,1.0278,1200,2.0114,3.321
Occupancy,Northern Flicker,Intercept,0.6853,0.8779,-0.4903,0.4987,2.8507,1.002,569,-0.3514,2.3081
Occupancy,Northern Parula,Intercept,-4.2474,1.3745,-6.8125,-4.2507,-1.2065,1.0173,356,-6.3718,-2.0348
Occupancy,Northern Rough-winged Swallow,Intercept,-2.0337,0.7011,-3.2348,-2.0918,-0.4704,1.0094,940,-3.0483,-0.8046
Occupancy,Orchard Oriole,Intercept,-2.3477,0.504,-3.3563,-2.3478,-1.3769,1.0059,1200,-3.2133,-1.5433
Occupancy,Ovenbird,Intercept,-2.6695,0.382,-3.4237,-2.669,-1.9371,1.0004,1200,-3.2866,-2.0814
Occupancy,Pileated Woodpecker,Intercept,1.2272,1.1982,-0.2556,0.9303,4.4077,1.0026,426,-0.1243,3.6872
Occupancy,Purple Finch,Intercept,-4.4751,1.3031,-7.1066,-4.483,-1.7125,1.0144,553,-6.6236,-2.2997
Occupancy,Purple Martin,Intercept,-5.6558,1.524,-8.8191,-5.5916,-2.8914,1.0043,809,-8.2799,-3.3453
Occupancy,Rose-breasted Grosbeak,Intercept,-0.1011,0.5686,-0.9572,-0.18,1.3967,1.003,816,-0.8669,0.9704
Occupancy,Ring-billed Gull,Intercept,-2.5607,0.5277,-3.5072,-2.5747,-1.3712,1.0182,1250,-3.3647,-1.7033
Occupancy,Red-breasted Nuthatch,Intercept,-4.2759,1.1884,-6.5969,-4.2971,-1.7564,1.0007,698,-6.1759,-2.2934
Occupancy,Red-bellied Woodpecker,Intercept,2.9586,0.6263,1.9957,2.866,4.5118,1.002,1380,2.0927,4.0896
Occupancy,Red-eyed Vireo,Intercept,2.8038,0.3853,2.0872,2.7869,3.5956,1.0069,1200,2.2137,3.4784
Occupancy,Red-headed Woodpecker,Intercept,-2.5885,0.8379,-4.0074,-2.6654,-0.7849,1.0078,834,-3.7849,-1.2156
Occupancy,Rock Pigeon,Intercept,-3.4159,1.2995,-5.3422,-3.572,-0.5854,1.0513,283,-5.0907,-1.304
Occupancy,Red-shouldered Hawk,Intercept,0.1391,1.5238,-1.8912,-0.1201,3.9311,1.0278,313,-1.7416,3.0819
Occupancy,Red-tailed Hawk,Intercept,-0.9822,1.1309,-2.5263,-1.227,1.9575,1.0211,277,-2.3199,1.2704
Occupancy,Ruby-throated Hummingbird,Intercept,1.8286,1.2809,-0.0729,1.6548,4.8128,1.0264,663,0.0892,4.2335
Occupancy,Red-winged Blackbird,Intercept,-0.8803,0.2018,-1.2902,-0.8793,-0.5007,0.9997,1200,-1.2097,-0.5531
Occupancy,Savannah Sparrow,Intercept,-4.8638,1.0245,-6.985,-4.823,-2.7953,1.0009,1145,-6.5964,-3.2936
Occupancy,Scarlet Tanager,Intercept,0.8039,0.3739,0.1574,0.7768,1.6248,1.0182,1200,0.2531,1.4668
Occupancy,Song Sparrow,Intercept,0.2844,0.188,-0.0837,0.287,0.6548,1.0139,1200,-0.0343,0.5987
Occupancy,Swamp Sparrow,Intercept,-3.4697,0.4844,-4.5166,-3.4356,-2.6151,1.0048,1200,-4.3278,-2.7012
Occupancy,Tennessee Warbler,Intercept,-5.6142,1.6569,-9.1027,-5.5412,-2.5908,1.0032,596,-8.5178,-3.1591
Occupancy,Tree Swallow,Intercept,-3.021,0.5529,-4.0405,-3.0091,-1.8756,1.0062,1413,-3.8971,-2.1247
Occupancy,Tufted Titmouse,Intercept,3.2185,0.6463,2.2561,3.1302,4.7168,1.0069,1081,2.3955,4.3651
Occupancy,Turkey Vulture,Intercept,-1.1334,0.9331,-2.7082,-1.2254,0.9601,1.001,694,-2.5188,0.5405
Occupancy,Veery,Intercept,-1.8403,0.5412,-2.7425,-1.8886,-0.5939,1.0039,1089,-2.6319,-0.9084
Occupancy,Virginia Rail,Intercept,-5.6724,1.5611,-9.2162,-5.583,-2.8346,1.0153,644,-8.4043,-3.3163
Occupancy,Warbling Vireo,Intercept,-1.8492,0.2992,-2.4242,-1.841,-1.2819,1.0003,1200,-2.3551,-1.3661
Occupancy,White-breasted Nuthatch,Intercept,2.86,0.938,1.7022,2.6375,5.2764,1.0031,702,1.8164,4.7177
Occupancy,White-eyed Vireo,Intercept,-5.1057,0.9547,-7.3143,-4.9925,-3.5648,1.0278,1200,-6.8361,-3.7423
Occupancy,Willow Flycatcher,Intercept,-3.3629,0.541,-4.4661,-3.3218,-2.3662,1,1200,-4.2615,-2.5
Occupancy,Wild Turkey,Intercept,-1.7711,1.5371,-3.7713,-2.1172,2.4301,1.0263,206,-3.5546,1.415
Occupancy,Winter Wren,Intercept,-4.2498,0.937,-6.0206,-4.2093,-2.4919,1.0079,1072,-5.7182,-2.7524
Occupancy,Wood Duck,Intercept,-3.5465,1.1328,-5.6007,-3.6387,-0.9415,1.0161,429,-5.2422,-1.5996
Occupancy,Wood Thrush,Intercept,0.821,0.2902,0.3231,0.7955,1.489,1.003,1200,0.3892,1.3243
Occupancy,Yellow-billed Cuckoo,Intercept,-1.6216,1.3867,-3.5677,-1.8901,2.0146,1.0272,331,-3.3069,1.042
Occupancy,Yellow Warbler,Intercept,-1.1978,0.2653,-1.7266,-1.2015,-0.6661,1.0007,1200,-1.6306,-0.7636
Occupancy,Yellow-throated Vireo,Intercept,-1.4956,0.8139,-2.5889,-1.6202,0.3287,1.007,451,-2.4557,-0.1949
Occupancy,Yellow-throated Warbler,Intercept,-2.9673,0.7331,-4.39,-2.9822,-1.4023,1.0049,1200,-4.0896,-1.6844
Occupancy,Acadian Flycatcher,tol_rel,-1.2218,0.2424,-1.7395,-1.2168,-0.7677,1.0151,1200,-1.6554,-0.8383
Occupancy,Alder Flycatcher,tol_rel,0.6701,0.5393,-0.3569,0.6635,1.745,1.0102,1200,-0.2285,1.5747
Occupancy,American Crow,tol_rel,0.1423,0.2423,-0.3209,0.1352,0.6321,0.9992,978,-0.2507,0.5447
Occupancy,American Goldfinch,tol_rel,0.214,0.3839,-0.4802,0.188,1.1076,1.0061,1401,-0.3609,0.8924
Occupancy,American Kestrel,tol_rel,0.2213,0.5614,-0.9363,0.2486,1.3212,1.0144,1314,-0.7193,1.1411
Occupancy,American Redstart,tol_rel,0.2143,0.3359,-0.4696,0.2062,0.8548,1.0017,1200,-0.3327,0.7567
Occupancy,American Robin,tol_rel,0.5351,0.3736,-0.0891,0.5098,1.4132,1.0039,1200,-0.0183,1.2139
Occupancy,American Woodcock,tol_rel,0.2684,0.4721,-0.6797,0.2904,1.1412,1.0087,1200,-0.4986,1.0178
Occupancy,Barred Owl,tol_rel,0.8497,0.4898,-0.0923,0.8526,1.8162,0.999,1200,0.0839,1.6651
Occupancy,Bald Eagle,tol_rel,0.3592,0.4779,-0.5978,0.3624,1.2752,1.0015,1200,-0.4101,1.1175
Occupancy,Bank Swallow,tol_rel,1.0684,0.4933,0.1115,1.0427,2.0649,1.0173,1200,0.3053,1.9061
Occupancy,Baltimore Oriole,tol_rel,0.8702,0.2883,0.3887,0.85,1.509,1.0086,1379,0.4369,1.3631
Occupancy,Barn Swallow,tol_rel,0.6191,0.3706,-0.0545,0.5946,1.4113,1.0024,1200,0.0417,1.2551
Occupancy,Black-capped Chickadee,tol_rel,-0.2318,0.4617,-1.0335,-0.2652,0.8845,1.0032,1200,-0.9092,0.6506
Occupancy,Belted Kingfisher,tol_rel,0.366,0.4062,-0.3268,0.3334,1.2911,1.019,1074,-0.215,1.1117
Occupancy,Blue-gray Gnatcatcher,tol_rel,-0.415,0.2413,-0.9124,-0.4045,0.0495,1.0014,1200,-0.8131,-0.0378
Occupancy,Brown-headed Cowbird,tol_rel,0.733,0.3647,0.1006,0.6996,1.4991,1.0023,1200,0.1871,1.3648
Occupancy,Blue-headed Vireo,tol_rel,0.113,0.5427,-0.9757,0.1101,1.1645,1.0039,1200,-0.806,0.9768
Occupancy,Blue Jay,tol_rel,-0.2624,0.2772,-0.8085,-0.2596,0.2576,1.0024,1256,-0.7273,0.1759
Occupancy,Bobolink,tol_rel,0.1843,0.5884,-0.9225,0.1722,1.4123,0.9999,1200,-0.7862,1.1796
Occupancy,Brown Creeper,tol_rel,-0.0452,0.358,-0.7842,-0.0316,0.6085,1.0062,1200,-0.6529,0.509
Occupancy,Brown Thrasher,tol_rel,1.3761,0.448,0.5147,1.3593,2.3085,0.9994,1200,0.6535,2.1251
Occupancy,Black-throated Green Warbler,tol_rel,0.1633,0.5898,-0.9697,0.1505,1.363,1.0116,1200,-0.7616,1.1354
Occupancy,Broad-winged Hawk,tol_rel,-0.2478,0.5317,-1.3092,-0.2404,0.7539,1,1200,-1.1414,0.596
Occupancy,Blue-winged Warbler,tol_rel,0.7062,0.3672,-0.0122,0.6983,1.4422,1.0132,1103,0.1216,1.2966
Occupancy,Canada Goose,tol_rel,0.6294,0.4488,-0.2371,0.6052,1.5807,1.0126,1200,-0.0596,1.3892
Occupancy,Carolina Wren,tol_rel,0.7836,0.3232,0.2148,0.7556,1.4535,1.0012,1200,0.3105,1.3381
Occupancy,Cedar Waxwing,tol_rel,0.8814,0.2851,0.3752,0.8553,1.4978,1.0009,1200,0.4484,1.3657
Occupancy,Cerulean Warbler,tol_rel,0.156,0.599,-0.9869,0.1506,1.2903,1.0097,1331,-0.8154,1.1461
Occupancy,Chipping Sparrow,tol_rel,0.2451,0.2411,-0.2089,0.2432,0.7253,1.0054,1200,-0.1347,0.6397
Occupancy,Chimney Swift,tol_rel,0.0776,0.3538,-0.5233,0.0379,0.9367,1.0052,1200,-0.4252,0.7322
Occupancy,Cliff Swallow,tol_rel,0.2587,0.5305,-0.8404,0.2687,1.3164,1.0002,1200,-0.6494,1.0986
Occupancy,Common Grackle,tol_rel,0.8144,0.3728,0.1921,0.7836,1.6766,1.0005,1584,0.2589,1.4922
Occupancy,Cooper's Hawk,tol_rel,0.5793,0.3399,-0.0482,0.5639,1.2934,1.001,1081,0.0546,1.1521
Occupancy,Common Yellowthroat,tol_rel,0.9192,0.2157,0.5122,0.9144,1.3962,1.0138,1200,0.5805,1.2888
Occupancy,Dark-eyed Junco,tol_rel,-0.5253,0.3635,-1.3155,-0.5098,0.139,1.0215,1200,-1.1445,0.0214
Occupancy,Downy Woodpecker,tol_rel,0.1911,0.3385,-0.4464,0.1882,0.9228,1.0015,1200,-0.3475,0.7611
Occupancy,Eastern Bluebird,tol_rel,0.484,0.289,-0.0502,0.4853,1.0406,1.0023,1158,0.0396,0.9508
Occupancy,Eastern Kingbird,tol_rel,0.8941,0.3222,0.2745,0.8917,1.5411,1.0036,1200,0.382,1.4085
Occupancy,Eastern Meadowlark,tol_rel,0.0977,0.5013,-0.9056,0.0964,1.0598,1.0011,1200,-0.7419,0.9196
Occupancy,Eastern Phoebe,tol_rel,-0.4704,0.3244,-1.1514,-0.4536,0.1236,1.0073,1200,-1.0391,0.0172
Occupancy,Eastern Towhee,tol_rel,0.7222,0.2422,0.2707,0.7238,1.1946,0.9996,1200,0.3366,1.1352
Occupancy,Eastern Wood-Pewee,tol_rel,-0.9241,0.2721,-1.4908,-0.9106,-0.43,1.0146,1200,-1.3879,-0.4912
Occupancy,European Starling,tol_rel,0.7629,0.2501,0.2815,0.7683,1.2421,1.0145,1083,0.3503,1.1729
Occupancy,Field Sparrow,tol_rel,0.8246,0.2938,0.2737,0.8088,1.4384,1.0002,1200,0.3626,1.3158
Occupancy,Great Blue Heron,tol_rel,0.183,0.3809,-0.5826,0.1851,0.9374,1.0007,1200,-0.447,0.8181
Occupancy,Great Crested Flycatcher,tol_rel,-0.3389,0.3803,-0.9805,-0.3701,0.5645,1.0041,1200,-0.8886,0.3368
Occupancy,Great Horned Owl,tol_rel,0.1885,0.5589,-0.9661,0.1802,1.3033,1.0027,1472,-0.7306,1.0978
Occupancy,Gray Catbird,tol_rel,0.8247,0.2257,0.4082,0.8093,1.2755,1.0015,1200,0.4752,1.2025
Occupancy,Green Heron,tol_rel,0.3908,0.5404,-0.6648,0.3949,1.3775,1.0022,1200,-0.5475,1.2582
Occupancy,Hairy Woodpecker,tol_rel,-0.5716,0.4441,-1.3955,-0.6049,0.4502,1.0065,1200,-1.2261,0.2208
Occupancy,Herring Gull,tol_rel,-0.123,0.5457,-1.2385,-0.1131,0.9031,1.0116,1076,-1.0593,0.7323
Occupancy,Hermit Thrush,tol_rel,-0.0952,0.5057,-1.1346,-0.1013,0.8538,1.0062,1200,-0.9651,0.7141
Occupancy,House Finch,tol_rel,0.2034,0.3539,-0.4624,0.177,0.9474,1.0017,1022,-0.3317,0.8132
Occupancy,House Sparrow,tol_rel,0.1976,0.2164,-0.2037,0.199,0.6013,1.0067,1200,-0.1561,0.5402
Occupancy,Hooded Warbler,tol_rel,-0.4158,0.2287,-0.8704,-0.4128,0.0175,1.0044,1308,-0.8059,-0.0567
Occupancy,House Wren,tol_rel,0.3297,0.1782,-0.0022,0.3226,0.6871,1.0017,1213,0.0546,0.6282
Occupancy,Indigo Bunting,tol_rel,0.5085,0.1956,0.1469,0.5065,0.9098,1.0001,1200,0.1899,0.838
Occupancy,Killdeer,tol_rel,0.8143,0.3738,0.1221,0.7993,1.5485,1.0005,1200,0.2298,1.4265
Occupancy,Louisiana Waterthrush,tol_rel,0.021,0.3194,-0.6359,0.0366,0.6179,1.0037,1315,-0.5036,0.528
Occupancy,Mallard,tol_rel,0.2358,0.3962,-0.531,0.2293,0.9839,1.0268,1200,-0.381,0.8648
Occupancy,Mourning Dove,tol_rel,1.0852,0.3328,0.5133,1.0592,1.7832,1.0045,1334,0.5774,1.6831
Occupancy,Northern Cardinal,tol_rel,0.5976,0.3363,-0.0251,0.5871,1.3121,1.0059,1200,0.062,1.174
Occupancy,Northern Flicker,tol_rel,0.4182,0.4496,-0.3525,0.3769,1.4669,1.0063,1200,-0.254,1.2445
Occupancy,Northern Parula,tol_rel,-0.1884,0.5838,-1.3856,-0.175,0.9286,1.0024,1200,-1.1723,0.7631
Occupancy,Northern Rough-winged Swallow,tol_rel,0.6448,0.3732,-0.0277,0.6069,1.4484,1.0054,1200,0.0977,1.2806
Occupancy,Orchard Oriole,tol_rel,1.1977,0.3329,0.6106,1.1809,1.9327,1.0051,1200,0.6748,1.7585
Occupancy,Ovenbird,tol_rel,-0.0749,0.3291,-0.7375,-0.0767,0.5407,1.0006,1200,-0.6213,0.4461
Occupancy,Pileated Woodpecker,tol_rel,-0.0414,0.441,-0.8432,-0.0805,0.987,1.0021,1414,-0.6886,0.7469
Occupancy,Purple Finch,tol_rel,0.71,0.521,-0.3095,0.7064,1.7153,1.0096,1097,-0.161,1.5832
Occupancy,Purple Martin,tol_rel,0.2062,0.6218,-1.0101,0.2017,1.3934,1.0081,1200,-0.8081,1.2246
Occupancy,Rose-breasted Grosbeak,tol_rel,0.3098,0.2984,-0.2339,0.2895,0.9657,1.0002,1200,-0.1603,0.8331
Occupancy,Ring-billed Gull,tol_rel,0.3784,0.3267,-0.2386,0.3821,1.0306,1.0008,1200,-0.1601,0.9294
Occupancy,Red-breasted Nuthatch,tol_rel,0.2471,0.525,-0.7823,0.2499,1.2426,0.9998,1366,-0.6087,1.1088
Occupancy,Red-bellied Woodpecker,tol_rel,-0.519,0.3823,-1.2782,-0.5291,0.2551,1.0004,1200,-1.1385,0.096
Occupancy,Red-eyed Vireo,tol_rel,-0.9363,0.2559,-1.4671,-0.9188,-0.478,1.0005,1200,-1.3861,-0.5436
Occupancy,Red-headed Woodpecker,tol_rel,-0.3063,0.4419,-1.1945,-0.2938,0.5075,1.0087,1200,-1.0529,0.3945
Occupancy,Rock Pigeon,tol_rel,0.0721,0.5263,-0.9593,0.0722,1.1134,1.0058,1200,-0.7754,0.9138
Occupancy,Red-shouldered Hawk,tol_rel,0.0837,0.5339,-0.9025,0.0505,1.2491,1.0112,876,-0.7219,0.9849
Occupancy,Red-tailed Hawk,tol_rel,0.4382,0.3684,-0.2513,0.433,1.1912,1.0029,1389,-0.1398,1.0686
Occupancy,Ruby-throated Hummingbird,tol_rel,0.3584,0.5348,-0.6781,0.3487,1.4633,1.0003,1200,-0.4765,1.2821
Occupancy,Red-winged Blackbird,tol_rel,0.9037,0.2026,0.5283,0.903,1.3227,1.0058,1200,0.5825,1.2446
Occupancy,Savannah Sparrow,tol_rel,0.2224,0.5276,-0.9078,0.2176,1.2332,1.0006,1343,-0.6923,1.0968
Occupancy,Scarlet Tanager,tol_rel,-0.9345,0.2628,-1.5098,-0.9323,-0.4439,1.0057,1200,-1.3721,-0.5109
Occupancy,Song Sparrow,tol_rel,0.9287,0.2166,0.5193,0.922,1.3841,1.0169,819,0.5805,1.3017
Occupancy,Swamp Sparrow,tol_rel,0.5062,0.3403,-0.1788,0.5091,1.1439,1.0042,1062,-0.0633,1.055
Occupancy,Tennessee Warbler,tol_rel,0.1573,0.6157,-1.0137,0.1648,1.3801,1.016,1200,-0.8834,1.1735
Occupancy,Tree Swallow,tol_rel,1.0701,0.3299,0.4805,1.0551,1.7891,1.0025,1200,0.5531,1.6556
Occupancy,Tufted Titmouse,tol_rel,-0.442,0.3835,-1.15,-0.4492,0.4047,0.9997,1200,-1.0488,0.2129
Occupancy,Turkey Vulture,tol_rel,0.8537,0.4814,0.0086,0.809,1.8649,1.0011,1200,0.156,1.662
Occupancy,Veery,tol_rel,0.0386,0.3136,-0.6114,0.0524,0.6203,1.0051,1105,-0.4844,0.5338
Occupancy,Virginia Rail,tol_rel,0.1869,0.6227,-1.0626,0.193,1.3383,1.0054,1192,-0.8915,1.1591
Occupancy,Warbling Vireo,tol_rel,0.7948,0.2329,0.3775,0.7779,1.2853,1.0007,1200,0.4378,1.1891
Occupancy,White-breasted Nuthatch,tol_rel,-0.3769,0.4409,-1.1458,-0.4104,0.6009,1.0109,1093,-1.0313,0.4087
Occupancy,White-eyed Vireo,tol_rel,0.0207,0.5375,-1.08,0.0216,1.0769,1.0166,1200,-0.882,0.892
Occupancy,Willow Flycatcher,tol_rel,1.3165,0.3559,0.6644,1.3051,2.0354,1.0047,1304,0.7615,1.9054
Occupancy,Wild Turkey,tol_rel,-0.2881,0.4942,-1.2485,-0.2804,0.6491,1.0023,1015,-1.0867,0.5141
Occupancy,Winter Wren,tol_rel,-0.3083,0.5451,-1.3933,-0.2966,0.7248,1.0025,1200,-1.1684,0.5415
Occupancy,Wood Duck,tol_rel,0.5443,0.4869,-0.4176,0.5323,1.5016,1.0122,944,-0.2475,1.3638
Occupancy,Wood Thrush,tol_rel,-0.4426,0.2151,-0.8623,-0.4398,-0.0248,1.0019,1200,-0.7895,-0.0939
Occupancy,Yellow-billed Cuckoo,tol_rel,0.1342,0.4581,-0.8494,0.1352,1.0491,1.0091,1200,-0.639,0.8668
Occupancy,Yellow Warbler,tol_rel,1.1962,0.2575,0.7282,1.1864,1.7202,1.0025,1200,0.7891,1.6376
Occupancy,Yellow-throated Vireo,tol_rel,-0.475,0.3756,-1.2608,-0.4455,0.2139,1.008,1200,-1.0963,0.0985
Occupancy,Yellow-throated Warbler,tol_rel,0.0682,0.4247,-0.8398,0.0837,0.8554,1.013,1342,-0.6637,0.7272
Occupancy,Acadian Flycatcher,svp,0.7215,0.2515,0.2697,0.7078,1.2554,0.9999,1312,0.3324,1.1536
Occupancy,Alder Flycatcher,svp,-0.0214,0.4016,-0.8159,-0.018,0.771,1.004,1200,-0.6935,0.6252
