Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory
Occupancy,White-breasted Nuthatch,Intercept,3.0148,0.8156,1.9707,2.8697,4.4985,0.9999,964,R
Occupancy,White-eyed Vireo,Intercept,-5.2691,0.9236,-6.9008,-5.2113,-3.8828,1.0048,1069,NE
Occupancy,Willow Flycatcher,Intercept,-3.4987,0.5266,-4.4124,-3.4671,-2.6505,0.9989,1144,NE
Occupancy,Wild Turkey,Intercept,-1.7523,1.5493,-3.6378,-2.1136,1.3565,1.024,201,R
Occupancy,Winter Wren,Intercept,-4.3198,0.952,-5.8885,-4.3039,-2.7741,1.0067,926,M
Occupancy,Wood Duck,Intercept,-3.8041,1.1623,-5.5289,-3.8889,-1.7607,1.0113,579,M
Occupancy,Wood Thrush,Intercept,0.8538,0.3225,0.3714,0.8244,1.4345,1.0029,1200,NE
Occupancy,Yellow-billed Cuckoo,Intercept,-1.791,1.2033,-3.4127,-1.9382,0.3947,1.0045,309,NE
Occupancy,Yellow Warbler,Intercept,-1.2857,0.2747,-1.7395,-1.2906,-0.8457,1.0022,1351,NE
Occupancy,Yellow-throated Vireo,Intercept,-1.6814,0.7249,-2.6381,-1.7783,-0.4967,1.0735,506,NE
Occupancy,Yellow-throated Warbler,Intercept,-3.0359,0.7513,-4.148,-3.0813,-1.7394,1.0079,932,NE
Occupancy,Acadian Flycatcher,tol_rel,-0.9695,0.2481,-1.4005,-0.9638,-0.5879,1.0177,1200,NE
Occupancy,Alder Flycatcher,tol_rel,0.6577,0.5153,-0.1615,0.6603,1.5103,1.0075,1390,NE
Occupancy,American Crow,tol_rel,0.2199,0.264,-0.193,0.2046,0.6834,0.9997,1200,R
Occupancy,American Goldfinch,tol_rel,0.1486,0.3808,-0.4349,0.1329,0.8245,1.0052,1161,M
Occupancy,American Kestrel,tol_rel,0.1963,0.534,-0.7264,0.1936,1.0538,0.9997,1338,R
Occupancy,American Redstart,tol_rel,0.3004,0.3702,-0.31,0.3034,0.9178,1.0058,1200,NE
Occupancy,American Robin,tol_rel,0.2802,0.3378,-0.2367,0.2576,0.8635,1.0004,1318,M
Occupancy,American Woodcock,tol_rel,0.2896,0.4623,-0.4829,0.3048,1.0304,1.001,1397,M
Occupancy,Barred Owl,tol_rel,0.8102,0.4623,0.0689,0.8062,1.579,1.0081,1351,R
Occupancy,Bald Eagle,tol_rel,0.3522,0.4949,-0.4622,0.3562,1.2076,1.0049,1200,R
Occupancy,Bank Swallow,tol_rel,1.0094,0.4734,0.251,1.0077,1.7611,0.9994,1200,NE
Occupancy,Baltimore Oriole,tol_rel,0.7448,0.2554,0.3304,0.7346,1.1802,1.0183,1247,NE
Occupancy,Barn Swallow,tol_rel,0.5956,0.398,-0.0014,0.5853,1.2545,0.9992,1200,NE
Occupancy,Black-capped Chickadee,tol_rel,0.0252,0.4721,-0.6974,0.0074,0.8345,1.0053,1200,R
Occupancy,Belted Kingfisher,tol_rel,0.3344,0.4058,-0.2773,0.31,1.0109,1.0099,1200,R
Occupancy,Blue-gray Gnatcatcher,tol_rel,-0.3585,0.2545,-0.786,-0.3605,0.0641,1.0156,1200,M
Occupancy,Brown-headed Cowbird,tol_rel,0.4991,0.3547,-0.0349,0.4738,1.1109,1.0103,1084,M
Occupancy,Blue-headed Vireo,tol_rel,0.1041,0.5208,-0.7432,0.1037,0.9714,0.9997,1200,NE
Occupancy,Blue Jay,tol_rel,-0.111,0.3098,-0.6005,-0.1166,0.3976,1.0049,1200,M
Occupancy,Bobolink,tol_rel,0.1855,0.5819,-0.7942,0.1973,1.1412,1.0019,984,NE
Occupancy,Brown Creeper,tol_rel,-0.0348,0.3607,-0.657,-0.0321,0.5324,1.0022,1200,M
Occupancy,Brown Thrasher,tol_rel,1.3639,0.4381,0.6837,1.344,2.1256,1.0018,1200,M
Occupancy,Black-throated Green Warbler,tol_rel,0.1703,0.5956,-0.8097,0.1983,1.1786,1.001,1200,NE
Occupancy,Broad-winged Hawk,tol_rel,-0.2096,0.5246,-1.0843,-0.2017,0.5781,1.0068,1099,NE
Occupancy,Blue-winged Warbler,tol_rel,0.7555,0.3701,0.1704,0.749,1.3867,1.0014,1200,NE
Occupancy,Canada Goose,tol_rel,0.5325,0.4116,-0.1259,0.516,1.2261,1.0093,1042,R
Occupancy,Carolina Wren,tol_rel,0.7609,0.3322,0.2783,0.7409,1.3126,1.0012,1200,R
Occupancy,Cedar Waxwing,tol_rel,0.7859,0.2855,0.3632,0.7707,1.2727,1.0087,1324,M
Occupancy,Cerulean Warbler,tol_rel,0.2091,0.5508,-0.6913,0.2309,1.0561,1.0001,1200,NE
Occupancy,Chipping Sparrow,tol_rel,0.0549,0.2547,-0.3499,0.052,0.4928,1.0023,911,M
Occupancy,Chimney Swift,tol_rel,0.1081,0.3398,-0.3984,0.096,0.6803,1.0028,1095,NE
Occupancy,Cliff Swallow,tol_rel,0.1713,0.5338,-0.679,0.1659,1.0362,1.004,1414,NE
Occupancy,Common Grackle,tol_rel,0.479,0.3283,-0.0265,0.4607,1.0347,1.0024,1082,M
Occupancy,Cooper's Hawk,tol_rel,0.5387,0.3496,-0.0465,0.5383,1.1192,1.0143,1102,M
Occupancy,Common Yellowthroat,tol_rel,0.9376,0.2273,0.5773,0.9292,1.3351,1.0013,1324,NE
Occupancy,Dark-eyed Junco,tol_rel,-0.4364,0.3503,-1.0087,-0.4336,0.1146,1.0102,1366,R
Occupancy,Downy Woodpecker,tol_rel,0.2396,0.3441,-0.3039,0.217,0.843,1.0004,1200,R
Occupancy,Eastern Bluebird,tol_rel,0.5399,0.3054,0.0803,0.5304,1.063,1.0047,1200,M
Occupancy,Eastern Kingbird,tol_rel,0.8687,0.3192,0.3812,0.858,1.4067,1.0132,1200,NE
Occupancy,Eastern Meadowlark,tol_rel,0.1051,0.4923,-0.753,0.1358,0.8474,1.0095,1363,M
Occupancy,Eastern Phoebe,tol_rel,-0.5102,0.3417,-1.0851,-0.4981,0.0082,1.0072,1200,M
Occupancy,Eastern Towhee,tol_rel,0.8076,0.2426,0.4354,0.7954,1.2351,1.0054,1200,M
Occupancy,Eastern Wood-Pewee,tol_rel,-0.8877,0.2955,-1.3761,-0.8746,-0.4196,1.0228,1200,NE
Occupancy,European Starling,tol_rel,0.7288,0.258,0.3278,0.7222,1.1547,1.0018,1177,R
Occupancy,Field Sparrow,tol_rel,0.8349,0.2949,0.3852,0.8252,1.364,1.0007,1323,M
Occupancy,Great Blue Heron,tol_rel,0.2107,0.3644,-0.3959,0.2131,0.7887,1.002,1200,M
Occupancy,Great Crested Flycatcher,tol_rel,-0.291,0.3352,-0.8335,-0.3037,0.275,1.0082,1134,NE
Occupancy,Great Horned Owl,tol_rel,0.2165,0.5173,-0.6368,0.2456,1.0781,1.0006,1200,R
Occupancy,Gray Catbird,tol_rel,0.7065,0.2384,0.3302,0.7028,1.1006,1.0109,1200,M
Occupancy,Green Heron,tol_rel,0.3387,0.5294,-0.523,0.3436,1.2457,1.0017,1320,M
Occupancy,Hairy Woodpecker,tol_rel,-0.3461,0.4129,-0.985,-0.3728,0.3479,1.0041,994,R
Occupancy,Herring Gull,tol_rel,-0.0749,0.5143,-0.9281,-0.0784,0.7576,1.0015,1200,R
Occupancy,Hermit Thrush,tol_rel,-0.0791,0.5014,-0.9365,-0.057,0.7002,1.004,1200,NE
Occupancy,House Finch,tol_rel,-0.0273,0.3549,-0.5827,-0.0412,0.5539,1.0036,1200,R
Occupancy,House Sparrow,tol_rel,-0.0122,0.233,-0.3955,-0.0073,0.3594,1.0015,1200,R
