Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory,Sig
Occupancy,Rose-breasted Grosbeak,Intercept,0.0228,0.6125,-0.7935,-0.0643,1.1084,1.0014,842,NE,NO
Occupancy,Ring-billed Gull,Intercept,-2.5388,0.6666,-3.5636,-2.5762,-1.3936,1.0011,970,R,YES
Occupancy,Red-breasted Nuthatch,Intercept,-4.2828,1.5346,-6.6391,-4.4001,-1.7712,1.0401,218,M,YES
Occupancy,Red-bellied Woodpecker,Intercept,3.5853,0.8717,2.5157,3.4255,5.1383,1.0084,909,R,YES
Occupancy,Red-eyed Vireo,Intercept,3.1141,0.4763,2.3991,3.0655,3.9703,1.0026,1200,NE,YES
Occupancy,Red-headed Woodpecker,Intercept,-2.2779,1.3321,-3.889,-2.5268,0.0552,1.2333,216,R,NO
Occupancy,Rock Pigeon,Intercept,-3.6749,1.3026,-5.4884,-3.827,-1.3091,1.0102,470,R,YES
Occupancy,Red-shouldered Hawk,Intercept,0.7784,1.5859,-1.3225,0.5744,3.7848,1.0038,307,R,NO
Occupancy,Red-tailed Hawk,Intercept,-1.1284,0.9859,-2.4338,-1.2824,0.6793,1.031,577,R,NO
Occupancy,Ruby-throated Hummingbird,Intercept,2.3929,1.5146,0.3226,2.1922,5.1884,1.0153,418,NE,YES
Occupancy,Red-winged Blackbird,Intercept,-0.9216,0.222,-1.2885,-0.9234,-0.5676,1.0061,1200,M,YES
Occupancy,Savannah Sparrow,Intercept,-5.1501,1.1328,-7.1275,-5.0773,-3.4691,1.0398,765,M,YES
Occupancy,Scarlet Tanager,Intercept,1.0015,0.4234,0.3725,0.9574,1.7681,1.001,1200,NE,YES
Occupancy,Song Sparrow,Intercept,0.3591,0.2063,0.035,0.357,0.716,1.0008,1200,R,YES
Occupancy,Swamp Sparrow,Intercept,-3.5426,0.5074,-4.4569,-3.502,-2.7779,1.0169,1200,M,YES
Occupancy,Tree Swallow,Intercept,-3.1376,0.602,-4.1137,-3.1273,-2.1963,0.9989,1200,M,YES
Occupancy,Tufted Titmouse,Intercept,3.6483,0.7114,2.6791,3.5443,4.9202,1.0274,893,R,YES
Occupancy,Turkey Vulture,Intercept,-0.8107,1.2982,-2.5374,-1.0136,1.5897,1.033,365,M,NO
Occupancy,Veery,Intercept,-1.4903,0.8994,-2.5829,-1.631,0.0426,1.049,462,NE,NO
Occupancy,Virginia Rail,Intercept,-5.9935,1.7983,-9.2678,-5.8402,-3.3405,1.0385,329,M,YES
Occupancy,Warbling Vireo,Intercept,-2.0694,0.356,-2.6647,-2.0648,-1.5169,1.0047,1200,NE,YES
Occupancy,White-breasted Nuthatch,Intercept,3.4907,1.0187,2.2795,3.243,5.482,1.0264,684,R,YES
Occupancy,White-eyed Vireo,Intercept,-5.3765,1.0355,-7.2391,-5.3343,-3.8499,1.0018,1019,NE,YES
Occupancy,Willow Flycatcher,Intercept,-3.4399,0.5154,-4.3359,-3.4023,-2.664,1.0023,1200,NE,YES
Occupancy,Wild Turkey,Intercept,-1.1821,1.7559,-3.3683,-1.5354,2.083,1.0047,228,R,NO
Occupancy,Winter Wren,Intercept,-4.0997,1.0198,-5.7313,-4.1393,-2.3181,1.0047,844,M,YES
Occupancy,Wood Duck,Intercept,-3.6457,1.3197,-5.6386,-3.7349,-1.4812,1.0267,545,M,YES
Occupancy,Wood Thrush,Intercept,1.3603,0.4687,0.7156,1.2944,2.2377,1.0161,1375,NE,YES
Occupancy,Yellow-billed Cuckoo,Intercept,-1.7007,1.4223,-3.5518,-1.9134,1.055,1.0002,265,NE,NO
Occupancy,Yellow Warbler,Intercept,-1.3365,0.2865,-1.8032,-1.3379,-0.8623,1.0161,1200,NE,YES
Occupancy,Yellow-throated Vireo,Intercept,-0.7457,1.3629,-2.3536,-1.0267,1.8723,1.0738,311,NE,NO
Occupancy,Yellow-throated Warbler,Intercept,-2.9715,0.884,-4.2116,-3.0652,-1.3839,1.0107,739,NE,YES
Occupancy,Acadian Flycatcher,monocots,0.7527,0.2546,0.3329,0.7503,1.1929,1.0044,1200,NE,YES
Occupancy,Alder Flycatcher,monocots,-0.309,0.4637,-1.0731,-0.3037,0.4415,1.001,1200,NE,NO
Occupancy,American Crow,monocots,-0.1453,0.3003,-0.6317,-0.1478,0.3527,1.0024,1200,R,NO
Occupancy,American Goldfinch,monocots,-0.1736,0.4649,-0.9343,-0.1782,0.6145,1.0063,1200,M,NO
Occupancy,American Kestrel,monocots,-0.1084,0.4546,-0.8257,-0.1179,0.6555,1.0076,1200,R,NO
Occupancy,American Redstart,monocots,-0.0631,0.3749,-0.6901,-0.077,0.551,1.0196,1200,NE,NO
Occupancy,American Robin,monocots,-0.4203,0.3283,-0.9879,-0.4085,0.1086,0.9997,1200,M,NO
Occupancy,American Woodcock,monocots,-0.3304,0.439,-1.0646,-0.3331,0.397,1.0081,1058,M,NO
Occupancy,Barred Owl,monocots,-0.2301,0.4274,-0.9101,-0.2409,0.4757,1.0087,976,R,NO
Occupancy,Bald Eagle,monocots,-0.2669,0.449,-1.0076,-0.2652,0.4472,0.9998,1200,R,NO
Occupancy,Bank Swallow,monocots,-0.4789,0.4514,-1.2294,-0.4754,0.2455,0.9992,1200,NE,NO
Occupancy,Baltimore Oriole,monocots,-0.3134,0.2533,-0.7279,-0.3057,0.0998,0.9989,1200,NE,NO
Occupancy,Barn Swallow,monocots,-0.558,0.3886,-1.2347,-0.5424,0.0563,1.0005,1200,NE,NO
Occupancy,Black-capped Chickadee,monocots,0.2244,0.3829,-0.3879,0.216,0.8552,1.0011,1545,R,NO
Occupancy,Belted Kingfisher,monocots,-0.226,0.3818,-0.8534,-0.2303,0.3674,1.0041,1200,R,NO
Occupancy,Blue-gray Gnatcatcher,monocots,0.4095,0.3197,-0.0918,0.4024,0.9532,0.9998,1200,M,NO
Occupancy,Brown-headed Cowbird,monocots,-0.169,0.3399,-0.696,-0.1732,0.3992,1.0119,971,M,NO
Occupancy,Blue-headed Vireo,monocots,-0.0663,0.4442,-0.7931,-0.0836,0.6728,1.0035,1200,NE,NO
Occupancy,Blue Jay,monocots,-0.0677,0.3994,-0.705,-0.0786,0.5847,0.9991,1318,M,NO
Occupancy,Bobolink,monocots,-0.1438,0.4833,-0.9183,-0.1374,0.6359,1.0106,1055,NE,NO
Occupancy,Brown Creeper,monocots,0.154,0.3385,-0.3935,0.1588,0.7009,0.9996,1193,M,NO
Occupancy,Brown Thrasher,monocots,-0.5952,0.4262,-1.2946,-0.5735,0.0437,1.0016,1200,M,NO
Occupancy,Black-throated Green Warbler,monocots,-0.1735,0.4734,-0.9365,-0.1737,0.5891,1.0023,2902,NE,NO
Occupancy,Broad-winged Hawk,monocots,-0.03,0.4451,-0.7529,-0.0301,0.7154,1.0069,1319,NE,NO
Occupancy,Blue-winged Warbler,monocots,-0.4763,0.4051,-1.168,-0.4752,0.1404,1.013,1200,NE,NO
Occupancy,Canada Goose,monocots,-0.1979,0.4068,-0.8821,-0.1926,0.4735,1.0079,1200,R,NO
Occupancy,Carolina Wren,monocots,0.1861,0.2855,-0.3065,0.1913,0.6616,1.0023,1200,R,NO
Occupancy,Cedar Waxwing,monocots,-1.0165,0.3257,-1.5445,-1.0041,-0.5399,1.01,1200,M,YES
Occupancy,Cerulean Warbler,monocots,-0.1362,0.4812,-0.9113,-0.1374,0.686,1.002,1200,NE,NO
Occupancy,Chipping Sparrow,monocots,0.0694,0.3166,-0.4313,0.0681,0.5943,1.0114,1339,M,NO
Occupancy,Chimney Swift,monocots,-0.3688,0.3953,-1.0039,-0.367,0.2784,1.0035,1200,NE,NO
Occupancy,Cliff Swallow,monocots,-0.4179,0.4541,-1.1719,-0.4036,0.2842,1.0088,1200,NE,NO
Occupancy,Common Grackle,monocots,-0.4461,0.3017,-0.9399,-0.4307,0.0486,1.0113,877,M,NO
