Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory,Sig
Occupancy,American Crow,tol_rel,-0.2506,0.2613,-0.6793,-0.2575,0.1872,1.0015,1079,R,NO
Occupancy,American Goldfinch,tol_rel,-0.1454,0.3899,-0.7831,-0.1526,0.4845,1.0012,1339,M,NO
Occupancy,American Kestrel,tol_rel,0.5323,0.5931,-0.3806,0.5214,1.5422,1.0081,1349,R,NO
Occupancy,American Redstart,tol_rel,0.3966,0.3881,-0.1939,0.3827,1.0633,1.0012,1200,NE,NO
Occupancy,American Robin,tol_rel,0.5661,0.5455,-0.2499,0.5378,1.5228,1.0073,1200,M,NO
Occupancy,American Woodcock,tol_rel,0.1936,0.4663,-0.5445,0.1844,0.9676,1.0052,1200,M,NO
Occupancy,Barred Owl,tol_rel,0.1583,0.5479,-0.7,0.131,1.1016,1.0017,1200,R,NO
Occupancy,Bald Eagle,tol_rel,0.4037,0.4974,-0.398,0.3918,1.2244,0.9993,1200,R,NO
Occupancy,Bank Swallow,tol_rel,1.1195,0.5031,0.3166,1.1179,1.9329,1.0055,1200,NE,YES
Occupancy,Baltimore Oriole,tol_rel,0.7926,0.3139,0.32,0.7781,1.3226,1.0064,1200,NE,YES
Occupancy,Barn Swallow,tol_rel,0.735,0.2923,0.2794,0.7197,1.236,1.0018,1200,NE,YES
Occupancy,Black-capped Chickadee,tol_rel,-0.1567,0.6243,-1.1688,-0.1871,0.9349,1.0031,1002,R,NO
Occupancy,Belted Kingfisher,tol_rel,0.1159,0.4296,-0.5334,0.0911,0.8387,1.0106,1019,R,NO
Occupancy,Blue-gray Gnatcatcher,tol_rel,-0.4072,0.2714,-0.8576,-0.3989,0.0277,1.0072,1200,M,NO
Occupancy,Brown-headed Cowbird,tol_rel,0.5369,0.4633,-0.1526,0.4925,1.3451,1.0023,1216,M,NO
Occupancy,Blue-headed Vireo,tol_rel,0.1082,0.5948,-0.8953,0.1259,1.0167,1.0024,1072,NE,NO
Occupancy,Blue Jay,tol_rel,-0.2459,0.5175,-1.0093,-0.3042,0.6827,1.0105,1200,M,NO
Occupancy,Bobolink,tol_rel,0.0823,0.576,-0.8854,0.0799,1.0298,1.0146,1101,NE,NO
Occupancy,Brown Creeper,tol_rel,-0.0457,0.3658,-0.6592,-0.0503,0.5641,1.0046,1200,M,NO
Occupancy,Brown Thrasher,tol_rel,1.4917,0.4855,0.7497,1.454,2.3325,1.0003,1200,M,YES
Occupancy,Black-throated Green Warbler,tol_rel,-0.0154,0.6153,-1.0678,-0.0028,0.9613,1.0045,1200,NE,NO
Occupancy,Broad-winged Hawk,tol_rel,-0.2601,0.5826,-1.2249,-0.2507,0.6391,0.9997,1417,NE,NO
Occupancy,Blue-winged Warbler,tol_rel,0.7303,0.3742,0.1245,0.73,1.3361,1.0039,1200,NE,YES
