
Call:
msPGOcc(occ.formula = bbs_occobject_global.occ.formula, det.formula = bbs_occobject.det.best.formula, data = bbs_occobject, 
    inits = ms.inits, priors = ms.priors, n.samples = 30000, n.omp.threads = 1, verbose = TRUE, n.report = 6000, 
    n.burn = 10000, n.thin = 50, n.chains = 3)

Samples per Chain: 30000
Burn-in: 10000
Thinning Rate: 50
Number of Chains: 3
Total Posterior Samples: 1200
Run Time (min): 56.5753

----------------------------------------
	Species Level
----------------------------------------
Occurrence (logit scale): 
                           Mean     SD      5%     50%     95%   Rhat  ESS
(Intercept)-sp79         0.0300 1.3537 -1.7924 -0.1729  2.3426 1.0002  345
(Intercept)-sp80        -0.6877 1.2705 -2.2580 -0.9232  1.7696 1.0338  302
(Intercept)-sp81         2.0525 1.3900  0.2036  1.8108  4.7782 1.0240  537
(Intercept)-sp82        -0.9361 0.2133 -1.2832 -0.9352 -0.5863 1.0001 1200
(Intercept)-sp83        -5.0307 1.0235 -6.7879 -4.9593 -3.4024 1.0052  742
(Intercept)-sp84         0.8502 0.3790  0.2760  0.8272  1.5027 1.0004 1492
(Intercept)-sp85         0.2887 0.1933 -0.0293  0.2832  0.6171 1.0001 1200
(Intercept)-sp86        -3.6221 0.5157 -4.5056 -3.5944 -2.8003 1.0117 1200
(Intercept)-sp87        -5.8243 1.6636 -8.7199 -5.7092 -3.1787 1.0055  602
(Intercept)-sp88        -3.1204 0.5826 -4.0721 -3.1219 -2.1706 1.0001 1200
(Intercept)-sp89         3.1935 0.5845  2.4271  3.1203  4.2254 0.9999 1200
(Intercept)-sp90        -1.0948 1.0513 -2.5978 -1.2164  0.6554 1.0027  707
(Intercept)-sp91        -1.8523 0.5756 -2.6558 -1.9106 -0.8698 1.0029 1090
(Intercept)-sp92        -5.7647 1.5659 -8.2566 -5.6851 -3.3079 1.0137  598
(Intercept)-sp93        -1.9453 0.2904 -2.4266 -1.9416 -1.4854 1.0027 1200
(Intercept)-sp94         2.8798 0.8356  1.8799  2.7197  4.3641 1.0048  864
(Intercept)-sp95        -5.2500 1.0075 -7.0540 -5.1533 -3.7932 1.0095  992
(Intercept)-sp96        -3.4582 0.5255 -4.3584 -3.4413 -2.6644 1.0077 1200
(Intercept)-sp97        -1.8149 1.6397 -3.6765 -2.2459  1.4591 1.0049  206
(Intercept)-sp98        -4.3014 0.9510 -5.9249 -4.2587 -2.8223 0.9997  922
(Intercept)-sp99        -3.7399 1.1144 -5.4959 -3.7944 -1.8909 1.0005  683
(Intercept)-sp100        0.9300 0.3428  0.4280  0.8951  1.5555 1.0018 1200
(Intercept)-sp101       -1.6815 1.2099 -3.2934 -1.8751  0.5240 1.0222  414
(Intercept)-sp102       -1.2739 0.2780 -1.7123 -1.2696 -0.8257 1.0239 1200
(Intercept)-sp103       -1.5295 0.7001 -2.4803 -1.6010 -0.3324 1.0498  516
(Intercept)-sp104       -3.0110 0.8095 -4.1283 -3.0940 -1.6786 1.0923  463
scale(tol_rel)-sp1      -1.2670 0.2554 -1.7145 -1.2630 -0.8670 1.0136 1200
scale(tol_rel)-sp2       0.5414 0.5286 -0.3114  0.5323  1.4298 1.0112 1200
scale(tol_rel)-sp3       0.0961 0.2708 -0.3263  0.0920  0.5278 1.0005 1039
scale(tol_rel)-sp4       0.1545 0.4167 -0.4957  0.1276  0.8554 1.0052 1200
scale(tol_rel)-sp5       0.1516 0.5274 -0.7433  0.1592  0.9770 1.0018 1255
scale(tol_rel)-sp6       0.1130 0.3549 -0.4738  0.1215  0.6924 1.0029 1200
scale(tol_rel)-sp7       0.4606 0.3775 -0.0979  0.4344  1.1412 1.0069 1200
scale(tol_rel)-sp8       0.1691 0.4676 -0.6251  0.1614  0.9405 1.0007 1200
scale(tol_rel)-sp9       0.6826 0.4796 -0.0880  0.6697  1.4878 1.0246 1088
scale(tol_rel)-sp10      0.2742 0.4664 -0.4722  0.2699  1.0519 1.0046 1200
scale(tol_rel)-sp11      0.8884 0.5075  0.0485  0.8876  1.7054 1.0093 1200
scale(tol_rel)-sp12      0.7995 0.3008  0.3394  0.7754  1.2995 1.0137 1200
scale(tol_rel)-sp13      0.4945 0.3851 -0.0786  0.4529  1.1879 1.0003 1200
scale(tol_rel)-sp14     -0.3519 0.4550 -1.0580 -0.3703  0.4313 1.0006 1200
scale(tol_rel)-sp15      0.2732 0.4003 -0.3325  0.2591  0.9333 1.0007 1737
scale(tol_rel)-sp16     -0.4289 0.2634 -0.8905 -0.4286 -0.0023 1.0036 1405
scale(tol_rel)-sp17      0.7477 0.3747  0.2011  0.7153  1.4142 1.0066 1200
scale(tol_rel)-sp18      0.0169 0.5552 -0.8764  0.0042  0.9272 1.0014 1200
scale(tol_rel)-sp19     -0.3567 0.3075 -0.8486 -0.3669  0.1537 0.9993 1122
scale(tol_rel)-sp20      0.0893 0.5880 -0.9159  0.0989  1.0304 1.0036 1200
scale(tol_rel)-sp21     -0.1026 0.3706 -0.7364 -0.0805  0.4757 1.0061 1200
scale(tol_rel)-sp22      1.2345 0.4631  0.5369  1.2022  2.0540 1.0138 1000
scale(tol_rel)-sp23      0.1039 0.5913 -0.8802  0.1195  1.0479 0.9997 1083
scale(tol_rel)-sp24     -0.3274 0.5293 -1.1858 -0.3258  0.4952 0.9988 1200
scale(tol_rel)-sp25      0.6229 0.3931  0.0053  0.6191  1.2972 1.0111 1322
scale(tol_rel)-sp26      0.5581 0.4584 -0.1636  0.5660  1.2975 1.0163 1303
scale(tol_rel)-sp27      0.6870 0.3190  0.2020  0.6652  1.2583 1.0024  965
scale(tol_rel)-sp28      0.6381 0.2763  0.2200  0.6197  1.1194 1.0035 1200
scale(tol_rel)-sp29      0.1144 0.5777 -0.8486  0.1133  1.0804 1.0035 1200
scale(tol_rel)-sp30      0.1979 0.2780 -0.2269  0.1904  0.6762 1.0051 1047
scale(tol_rel)-sp31     -0.0221 0.3604 -0.5591 -0.0524  0.6017 1.0039 1087
scale(tol_rel)-sp32      0.1352 0.5003 -0.7005  0.1410  0.9271 1.0149 1200
scale(tol_rel)-sp33      0.5610 0.3595  0.0289  0.5212  1.2129 1.0000 1200
scale(tol_rel)-sp34      0.4542 0.3582 -0.1260  0.4508  1.0215 1.0012 1183
scale(tol_rel)-sp35      0.6847 0.2277  0.3139  0.6820  1.0551 1.0126 1200
scale(tol_rel)-sp36     -0.5121 0.3671 -1.1635 -0.4941  0.0639 1.0010 1200
scale(tol_rel)-sp37      0.1319 0.3389 -0.4197  0.1268  0.7155 1.0027 1200
scale(tol_rel)-sp38      0.3175 0.3067 -0.1646  0.3064  0.8147 1.0080 1303
scale(tol_rel)-sp39      0.7866 0.3405  0.2344  0.7902  1.3336 1.0009 1200
scale(tol_rel)-sp40      0.0178 0.5002 -0.8769  0.0353  0.8457 1.0019 1402
scale(tol_rel)-sp41     -0.4941 0.3334 -1.0777 -0.4765  0.0183 1.0029 1200
scale(tol_rel)-sp42      0.6125 0.2599  0.1938  0.6130  1.0457 1.0017 1200
scale(tol_rel)-sp43     -0.9553 0.2886 -1.4493 -0.9437 -0.5185 1.0024 1200
scale(tol_rel)-sp44      0.7028 0.2633  0.2895  0.6972  1.1391 1.0046 1309
scale(tol_rel)-sp45      0.6494 0.2912  0.1849  0.6488  1.1392 1.0114 1200
scale(tol_rel)-sp46      0.1328 0.3839 -0.4727  0.1207  0.7740 1.0003 1200
scale(tol_rel)-sp47     -0.3814 0.4395 -1.0154 -0.4332  0.3926 1.0059 1038
scale(tol_rel)-sp48      0.1382 0.5606 -0.7900  0.1533  1.0220 1.0033 1200
scale(tol_rel)-sp49      0.7737 0.2282  0.4025  0.7655  1.1446 1.0152 1200
scale(tol_rel)-sp50      0.2794 0.5395 -0.5905  0.2878  1.1518 1.0072  926
scale(tol_rel)-sp51     -0.6512 0.4107 -1.2571 -0.6836  0.0669 1.0093 1037
scale(tol_rel)-sp52     -0.1570 0.5274 -1.0430 -0.1432  0.6633 1.0082 1200
scale(tol_rel)-sp53     -0.2313 0.5304 -1.1419 -0.2013  0.5714 1.0008 1125
scale(tol_rel)-sp54      0.1867 0.3794 -0.4257  0.1835  0.8583 1.0064 1200
scale(tol_rel)-sp55      0.1886 0.2489 -0.2189  0.1877  0.5916 1.0006 1200
scale(tol_rel)-sp56     -0.4268 0.2467 -0.8436 -0.4218 -0.0441 1.0029 1200
scale(tol_rel)-sp57      0.2119 0.1894 -0.1031  0.2111  0.5201 1.0018 1200
scale(tol_rel)-sp58      0.3765 0.2106  0.0510  0.3668  0.7311 1.0051 1126
scale(tol_rel)-sp59      0.7528 0.3536  0.2015  0.7381  1.3474 1.0042 1200
scale(tol_rel)-sp60     -0.0751 0.3531 -0.6482 -0.0709  0.5010 1.0041 1200
scale(tol_rel)-sp61      0.1938 0.4228 -0.4873  0.1756  0.8779 1.0005 1008
scale(tol_rel)-sp62      0.9647 0.3389  0.4347  0.9414  1.5198 1.0026 1081
scale(tol_rel)-sp63      0.4414 0.3516 -0.1279  0.4312  1.0347 1.0061 1200
scale(tol_rel)-sp64      0.2780 0.4838 -0.4667  0.2508  1.1075 1.0088 1200
scale(tol_rel)-sp65     -0.2899 0.5337 -1.2023 -0.2888  0.5626 1.0098 1200
scale(tol_rel)-sp66      0.5697 0.3802  0.0031  0.5517  1.2491 1.0014 1200
scale(tol_rel)-sp67      0.9950 0.3273  0.4956  0.9761  1.5615 1.0082 1200
scale(tol_rel)-sp68     -0.1736 0.3451 -0.7380 -0.1761  0.3719 1.0015 1327
scale(tol_rel)-sp69     -0.2246 0.4444 -0.8767 -0.2492  0.5647 1.0108 1200
scale(tol_rel)-sp70      0.5913 0.5095 -0.2166  0.5913  1.4008 1.0079 1200
scale(tol_rel)-sp71      0.1103 0.5899 -0.8463  0.1084  1.0976 1.0177  657
scale(tol_rel)-sp72      0.1737 0.3002 -0.2872  0.1577  0.6804 1.0020 1312
scale(tol_rel)-sp73      0.2630 0.3367 -0.2993  0.2614  0.8267 1.0024 1425
scale(tol_rel)-sp74      0.1318 0.5268 -0.7384  0.1235  0.9946 1.0010 1200
scale(tol_rel)-sp75     -0.6218 0.3870 -1.2337 -0.6376  0.0583 1.0047 1330
scale(tol_rel)-sp76     -1.0215 0.2796 -1.4693 -1.0223 -0.5763 1.0138 1200
scale(tol_rel)-sp77     -0.3260 0.4512 -1.0926 -0.3179  0.3589 1.0006 1200
scale(tol_rel)-sp78     -0.0222 0.5085 -0.8223 -0.0201  0.8074 1.0006 1219
scale(tol_rel)-sp79     -0.0181 0.5290 -0.8535 -0.0472  0.9228 1.0107 1299
scale(tol_rel)-sp80      0.3683 0.4100 -0.2622  0.3504  1.0576 1.0035 1200
scale(tol_rel)-sp81      0.2975 0.5197 -0.5450  0.2817  1.1259 1.0009  910
scale(tol_rel)-sp82      0.7366 0.2176  0.3927  0.7371  1.0956 1.0031 1200
scale(tol_rel)-sp83      0.1466 0.5268 -0.6988  0.1406  1.0162 1.0059 1200
scale(tol_rel)-sp84     -1.0621 0.2875 -1.5407 -1.0583 -0.5923 1.0144 1200
scale(tol_rel)-sp85      0.7664 0.2267  0.4152  0.7470  1.1563 1.0181 1200
scale(tol_rel)-sp86      0.3745 0.3479 -0.1990  0.3761  0.9525 1.0015 1200
scale(tol_rel)-sp87      0.1052 0.6137 -0.8847  0.1125  1.1023 1.0030 1468
scale(tol_rel)-sp88      0.8699 0.3310  0.3262  0.8647  1.4360 1.0002 1200
scale(tol_rel)-sp89     -0.5437 0.3649 -1.1205 -0.5455  0.0496 1.0014 1345
scale(tol_rel)-sp90      0.7207 0.4782 -0.0152  0.7016  1.5705 1.0039 1161
scale(tol_rel)-sp91      0.0346 0.3387 -0.5252  0.0420  0.5681 1.0028 1010
scale(tol_rel)-sp92      0.1173 0.5640 -0.7741  0.1032  1.0661 1.0027 1200
scale(tol_rel)-sp93      0.6796 0.2483  0.2842  0.6797  1.0820 1.0096 1200
scale(tol_rel)-sp94     -0.4994 0.4206 -1.1468 -0.5215  0.2135 0.9993  922
scale(tol_rel)-sp95     -0.1036 0.5513 -1.0177 -0.0918  0.7958 0.9993 1200
scale(tol_rel)-sp96      1.1755 0.3431  0.6153  1.1844  1.7406 1.0041 1258
scale(tol_rel)-sp97     -0.4356 0.5231 -1.2827 -0.4276  0.4037 1.0000 1009
scale(tol_rel)-sp98     -0.3672 0.5249 -1.2837 -0.3597  0.4841 1.0010 1200
scale(tol_rel)-sp99      0.4306 0.4888 -0.3246  0.4160  1.2313 1.0053 1200
scale(tol_rel)-sp100    -0.4867 0.2349 -0.8794 -0.4843 -0.1037 1.0010 1303
scale(tol_rel)-sp101     0.0335 0.4326 -0.6495  0.0392  0.7351 1.0040 1419
scale(tol_rel)-sp102     1.0415 0.2664  0.6218  1.0343  1.5096 1.0087 1200
scale(tol_rel)-sp103    -0.5708 0.3969 -1.2684 -0.5458  0.0614 1.0091 1200
scale(tol_rel)-sp104    -0.0377 0.4213 -0.7313 -0.0232  0.6493 1.0078 1311
scale(svp)-sp1           0.7480 0.2548  0.3332  0.7420  1.1939 1.0117 1200
scale(svp)-sp2           0.0024 0.3983 -0.6513  0.0017  0.6538 1.0034 1200
scale(svp)-sp3           0.0301 0.2371 -0.3335  0.0183  0.4307 1.0025 1200
scale(svp)-sp4           0.0868 0.3255 -0.4395  0.0831  0.6499 1.0028 1200
scale(svp)-sp5          -0.1772 0.3951 -0.8485 -0.1758  0.4630 1.0079 1094
scale(svp)-sp6          -0.1066 0.3057 -0.6115 -0.0946  0.3587 1.0042  990
scale(svp)-sp7          -0.4572 0.2388 -0.8490 -0.4524 -0.0957 1.0086 1200
scale(svp)-sp8          -0.1056 0.3857 -0.7557 -0.1052  0.5217 1.0020 1200
scale(svp)-sp9           0.1185 0.3816 -0.5222  0.1321  0.7525 1.0019 1200
scale(svp)-sp10         -0.2531 0.3934 -0.9609 -0.2417  0.3410 1.0143 1200
scale(svp)-sp11         -0.0317 0.3878 -0.6638 -0.0421  0.6187 1.0087 1200
scale(svp)-sp12         -0.5242 0.2534 -0.9505 -0.5223 -0.1286 1.0039 1200
scale(svp)-sp13         -0.1890 0.3392 -0.7300 -0.2010  0.3646 1.0032 1200
scale(svp)-sp14          0.1418 0.3910 -0.4781  0.1375  0.8061 0.9999 1103
scale(svp)-sp15         -0.2603 0.3281 -0.8240 -0.2545  0.2571 1.0003 1200
scale(svp)-sp16          0.2565 0.3121 -0.2332  0.2353  0.8039 1.0082 1200
scale(svp)-sp17          0.1072 0.2758 -0.3227  0.0979  0.5788 1.0025 1200
scale(svp)-sp18         -0.0038 0.3814 -0.6370 -0.0092  0.6343 1.0010 1200
scale(svp)-sp19         -0.1111 0.2615 -0.5372 -0.1080  0.3137 1.0009 1200
scale(svp)-sp20         -0.0591 0.4372 -0.7415 -0.0585  0.6478 1.0198 1200
scale(svp)-sp21          0.6037 0.2755  0.1622  0.5956  1.0400 1.0066 1200
scale(svp)-sp22         -0.1698 0.3838 -0.8013 -0.1739  0.4737 1.0317 1160
scale(svp)-sp23         -0.0824 0.4104 -0.7612 -0.0744  0.5747 0.9991 1089
scale(svp)-sp24          0.2436 0.3581 -0.3490  0.2351  0.8392 1.0107 1200
scale(svp)-sp25         -0.0377 0.3326 -0.5659 -0.0358  0.5100 0.9991 1424
